unique_id,cutoff,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN,2020-10-01,mse,75785401751.80548,361503188580.58325,161512239712.64587,161857695131.02777,18537129062.029324,18537129062.029324,29481659274.698936,45882593401.64435
MI,2020-10-01,mse,53677847122.194466,366580082843.5455,134310895192.18742,136260040209.33325,53677847122.194466,53677847122.194466,90102434256.16327,144793287941.75946
OH,2020-10-01,mse,75497020951.81953,193480116128.55557,213551367269.44458,217139815419.54156,89376451640.75421,89376451640.75421,76452166798.39038,74800096238.08707
IL,2022-10-01,mse,78743543622.06949,135037271221.16148,51739640054.34721,68365507581.12503,320817921412.8656,323131437373.75073,135300090487.75728,78537086403.27655
IN,2022-10-01,mse,16982646474.777756,278617210005.7667,10255918576.520813,14653885335.77776,139662681139.96402,139662681139.96402,70927739391.53717,65765780373.545654
MI,2022-10-01,mse,179931338704.87503,180567059781.91684,148061755711.37503,158234750673.59723,310081672298.81323,310081672298.81323,322613106711.55164,207543266404.4947
OH,2022-10-01,mse,83951399722.12508,124525296239.78929,62282257488.56941,71273321508.51389,116205157767.66864,116205157767.66864,82283206829.15135,83732806031.95117
IL,2016-10-01,rmse,82767.24008896537,106883.52246929603,98568.02819129928,92446.64939409352,97495.0162612158,97495.0162612158,123412.02896396093,82807.21954441456
IN,2016-10-01,rmse,19875.42293086004,152570.51271711165,40125.36028291015,45719.09240359362,117443.10899791698,117443.10899791698,145021.67896015514,114148.55741367188
MI,2016-10-01,rmse,283337.2738631617,286305.83158438327,278453.45076257054,272474.0831303196,378780.6987370608,378780.6987370608,385778.42864400474,292925.9266869916
OH,2016-10-01,rmse,89971.84568812491,76937.21780766825,114354.5017905151,111160.75170370762,133756.02357526575,133756.02357526575,444968.5542034291,147204.80450451988
IL,2018-10-01,rmse,106756.27485018809,214285.23761950785,148318.78155960664,185293.83809176655,106756.27485018809,106756.27485018809,149688.3800898987,106775.01120667685
IN,2018-10-01,rmse,149804.38570455625,200325.4136673629,141196.34328401636,146210.82489778814,172655.1256380693,172655.1256380693,95852.56244901828,126162.13641069572
MI,2018-10-01,rmse,119254.91592254983,257582.69410386521,114412.0694666384,117935.47761723593,257582.69410386606,257582.69410386606,95217.23866155467,203729.79251151293
OH,2018-10-01,rmse,111012.17048982112,157263.09372292508,133185.86675642323,159805.83056452186,185863.84347667298,185863.84347667298,117931.34567330316,111094.50422111104
IL,2020-10-01,rmse,312634.4121161683,396146.8701115773,454599.7521315147,451532.34984230215,312634.4121161683,312634.4121161683,289776.58042569685,313694.4636404916
IN,2020-10-01,rmse,275291.4850695631,601251.3522484447,401885.8540837757,402315.41746623104,136151.12581991134,136151.12581991134,171702.240156321,214202.22548247332
MI,2020-10-01,rmse,231684.801232611,605458.5723594518,366484.5088024696,369134.17643091956,231684.801232611,231684.801232611,300170.67521022644,380517.1322578781
OH,2020-10-01,rmse,274767.2122940063,439863.7472315212,462116.18373461516,465982.63424675126,298958.9464136409,298958.9464136409,276499.8495449688,273496.0625641383
IL,2022-10-01,rmse,280612.80017502676,367474.17762498837,227463.49169558444,261467.98576713944,566407.9107965085,568446.5123243793,367831.6061566179,280244.6902320837
IN,2022-10-01,rmse,130317.48338107883,527842.0312989169,101271.5092043207,121053.23347923325,373714.7055441678,373714.7055441678,266322.6227558169,256448.39709685388
MI,2022-10-01,rmse,424183.1428815566,424931.8295702463,384787.9360262936,397787.31839212426,556849.7753423388,556849.7753423388,567990.4107566884,455569.16753056797
OH,2022-10-01,rmse,289743.6793480145,352881.4195162297,249564.13502057825,266970.6379145727,340888.7762418538,340888.7762418538,286850.495605553,289366.21439268126
