NDC,ATC4 Class
00781227701,C09AA
00781204801,N04BB
62332019130,M04AA
00121065304,N05AB
61748009210,A11JB
47781054401,J01AA
59385002560,N07BC
00228284903,N06AB
68180051703,C09AA
68180030260,J01DC
00168005646,S01CB
00025146131,G02AD
36800051626,R01BA
00713066115,S01BA
63323057802,A03AB
68180047201,C09AA
64679092101,S01AA
50383077517,R02AD
63323048927,S01HA
76329331601,A01AD
65862094188,L02AA
00781556705,N03AE
63824007236,R05FA
69238103107,G03AA
65628020810,A07AA
00206886101,J01CR
60505397306,M03BX
60505017009,C10BX
47335017581,R06AE
76282021490,N06AB
64980017405,M03BA
51672210008,D01AE
51079059920,C10AB
16729009001,D11AX
00409490334,C01BB
71428000360,D10AF
63481068701,N01BB
27808005901,N06BA
00517037405,V03AB
65862037505,N06AB
00378709801,J01MA
70700026330,A02BC
45963056630,C10AA
12496120201,V03AB
62011028501,S01GX
49348023127,R01AA
23155053006,G04BD
68084021511,J05AB
00186198804,A07EA
51862023803,G03AB
58657015010,V04CX
65862084988,G03AB
43386009019,A12CA
66993058597,R03AC
64380080906,G02CC
00409672923,B05XA
00781806101,C09AA
00121065816,N04AA
62559043130,S01CB
00409577901,A12BA
49348000110,B01AC
65162023109,N06BA
00409477702,S03AA
00781406336,A04AD
00378240101,N05AB
00135053202,N07BA
67405010015,D07AC
53489011802,J01AA
60687039579,R03CC
00264761200,B05XA
00228257111,C03BA
00264770300,B05BB
00378632477,C09CA
00168027146,D07XC
65862093574,B03AE
00487980130,R03BB
65862037305,N06AB
16714089802,R06AX
00456140530,C07AB
10147068701,N06BA
00143957710,S02DA
27241003803,G04BD
00093831018,N02CC
54879000308,D07AB
52565008704,C05AA
70000034001,S02AA
69097081207,N02BF
59762374208,G03AC
00781145301,A10BB
69097085407,G02CC
69557011130,R02AD
46122023526,R05FA
00245036001,A12BA
51672127401,A07EA
58657016401,C10AD
36800057826,R05FA
63323096520,A12BA
61314022705,C07AA
42023015901,A01AD
68084039665,D11AX
00409610218,C03CA
00023391950,M03AX
63323049216,R02AD
68094002259,D04AA
00409120703,S01AA
53746054205,A12BA
50383041906,D01AE
53329016544,D04AX
13668007930,R03DC
68084031301,N03AG
00093415579,J01CA
58657016501,B03BB
54838013670,R06AB
63323046357,R03AA
63459092059,L03AA
00713075915,A07EA
00069005903,S01XA
68180056701,C09AA
00071241823,N03AD
13811052990,A11DA
62332005090,C09DA
67877050530,H05BX
44567043624,J01MA
00187517045,D10AD
00121059516,B05CB
00536111825,M02AB
00065175014,S01BC
00406052710,N07BC
00023615108,G03DA
57237022201,C09AA
36800007009,G01AF
00555904379,G03AA
63868036320,N02BA
61314063136,S02AA
70000025901,G02CC
64380080906,M01AE
67405067150,N05BB
70000024701,A01AD
00409798509,B05XA
51079030001,N02CX
00169368712,A10AE
57664024713,C07AG
00228234810,H03BA
52565003360,D10AF
00409428212,S02DA
00067399842,D01AE
42806031250,J01AA
51672203506,D01AC
23155013301,J01AA
17478022612,N07AX
16729001015,B01AC
00143973810,A07EA
00904641292,A12AA
53746020401,N02BE
68382009706,N06AB
68180054503,G01AA
55150030610,G03DA
00409317802,S02DA
67877043830,J01AA
00093314505,J01DB
66794015702,M03BX
00409036801,L01CD
00904323393,A02AC
36800091530,A02BC
53746027105,J01EE
00904585460,G02CC
10370034911,N06DX
00168009960,G01AF
50383029493,N02AE
51672126402,C05AA
70700012184,G03AA
67457042010,C05AA
61314063136,S01CB
52544029528,G03CA
00517931025,B05BB
62011030601,R01BA
55566410000,S01KA
51672403103,B01AA
62011033901,N02BE
24385000934,C01EB
00378103177,C03DA
63824095107,R01BA
42543000310,C07AB
63824094901,R05CA
68462065729,L02AA
00406037705,N02AJ
76204060005,R03AC
00173052400,N02CC
68682027115,C05AA
49348019635,M01AE
00603786290,D02AA
70377002813,C10AA
65162046609,R02AX
00781303395,J01CR
11701003816,J02AB
50419040203,G03CA
51293062701,N03AA
00054329863,C03CA
50383096430,N02AA
00642007030,A02AA
70000025901,M01AE
50102013001,G03AA
23594050501,C05AA
50268059411,M01AE
63868046550,M01AE
55111053205,N03AG
63323048203,B02BC
63323010615,A06AD
16729013401,M04AA
00006057582,A10BD
51285012797,L02AA
00093736756,C03AA
51672127406,H02AB
43547032410,A01AB
00009008510,G03BA
23155013525,D01AE
49281075221,V04CF
16714068302,C10AA
43547040903,N06AB
00078046915,V03AC
57664034588,N05AH
00186037020,R03AK
50383017290,A16AA
70000012401,R06AX
63824017365,R05DA
43538094060,D06AX
45802006435,S01BA
68180031606,N06AA
43547042303,C09CA
42806011101,N02AJ
00904585460,M01AE
24385047962,R06AA
43975033410,N06BA
27241012602,C01EB
50102015401,G03AA
68180082713,G03AB
00264775100,A12BA
68645058054,C08CA
00115172401,D01AA
00316022515,G01AF
65162046410,M02AA
60505018300,N03AF
50268026811,A06AA
00409196602,B05CB
29033003106,A10BA
00781941315,S01AA
65862018601,J01FF
59762172001,C03DA
00713072637,R01AD
14539067505,N05BB
16729020216,N05BE
00472038145,C05AA
00168002135,S03AA
64125090510,N05BA
66993089815,A07EA
65862002460,J05AF
58468004001,A16AB
60687044611,M02AA
00378130001,N05AN
50102012801,L02AA
00168033260,D07AC
63323046837,C01CA
64679092402,C09AA
72578000701,P01AB
70000046101,A07DA
00527133501,J01AA
00409318301,N01BB
67457042830,J01GB
24385014303,A07AA
00065079515,B05CB
63739090114,B01AB
31722071390,A02BC
42858010201,N02BE
00135007422,A12AA
14789001505,C01CA
00713032737,S01CB
63323091501,B01AB
00228202750,N05BA
51660020469,R01BA
63739090114,S01XA
51754100001,V04CC
59088081624,D07AA
70121116901,S01BA
00143959525,C05AD
67618010152,A06AA
63323016526,A01AC
00378032701,N05AD
37205070926,R01AA
43199002930,D07AC
67618020016,S03AA
47781035603,V03AB
46122029934,R05CA
16714044001,G03AC
60432021208,S01BA
51079073420,N05AD
45802005611,D06AX
00469087130,C01EB
50458055201,N05AX
55150025650,R02AD
24385036571,N02BA
63323028623,N01BB
00409930020,N01BB
67877029650,M02AA
17478071935,J01XB
16729000510,C10AA
65862064169,S01AA
62332010630,N06BA
16714029202,J01CA
57237020899,C03AA
68462029052,S01BA
57664015688,N02AA
24338001018,C01DA
00406012305,N02AJ
00093026430,D07AC
55111017290,D11AX
76282022518,C10AB
69238155106,L02AA
52565000730,S02DA
42806011301,N02AJ
63323048217,S01HA
00485020416,R01AB
00002880559,A10AC
00002144527,L04AC
16714040001,J01DC
62559013807,D07AA
50383028608,J01MA
63323096510,B05XA
00187099445,J05AB
65649065103,D07AC
24208043262,D02BB
63868031012,G04BX
00904668067,S03AA
50419040303,G03AC
49348004534,D04AA
55513074101,H05BX
00338112304,B05XB
24385046843,A06AA
68382070718,J01AA
00009060204,G01AA
67457070575,S01AA
61314063715,A01AC
59762100201,L04AH
00527260343,C07AB
58657062201,N02BF
00904583315,R01BA
00409653311,A07AA
00781286810,A02BC
67457082415,J01XA
29300013005,C03AA
57237004701,N03AG
00378008101,C09AA
24658031201,J01AA
31722071130,G04BE
51991064390,J01FA
00378101201,C09AA
00085134107,R01AD
00054008013,L02BG
00781340485,J01CA
59385002160,N02AE
49348010404,R01BA
68180046301,C09BB
67877047379,S01HA
00143974610,R03CC
51801000730,A12BA
55111068401,M02AA
00378808615,D10AD
00093102606,N06AX
