index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
104,IN_D01,2025-01-01,21102.0,3194.7947,39009.207,23199.584,8164.4155,38234.754,34323.0,13647.868,54998.133,34323.0,13647.868,54998.133,21609.326,7338.981,35879.67,21609.326,7338.981,35879.67,21196.943,6235.9365,36157.95,24810.053,11909.234,40174.68
105,IN_D01,2025-04-01,21102.0,-4222.6123,46426.613,23199.584,8164.4155,38234.754,27989.0,7313.868,48664.133,27989.0,7313.868,48664.133,23119.434,7951.216,38287.652,23119.434,7951.216,38287.652,23794.309,8833.301,38755.316,24810.053,9638.945,38188.926
106,IN_D01,2025-07-01,21102.0,-9914.189,52118.188,23199.584,8164.4155,38234.754,29558.0,8882.868,50233.133,29558.0,8882.868,50233.133,23119.434,7951.216,38287.652,23119.434,7951.216,38287.652,30746.889,15785.88,45707.9,24810.053,5797.704,39219.484
107,IN_D01,2025-10-01,21102.0,-14712.41,56916.41,23199.584,8164.4155,38234.754,21102.0,426.8682,41777.133,21102.0,426.8682,41777.133,23119.434,7951.216,38287.652,23119.434,7951.216,38287.652,25435.076,10474.066,40396.086,24810.053,10649.763,39028.82
108,IN_D02,2025-01-01,2313.0,-194.85933,4820.8594,3236.5557,1041.5863,5431.525,3614.0,-47.580456,7275.5806,3614.0,-47.580456,7275.5806,2666.6,604.75275,4728.4473,2666.6,604.75275,4728.4473,3587.475,1316.215,5858.7354,3217.269,1400.6713,5380.8022
109,IN_D02,2025-04-01,2313.0,-1233.6487,5859.6484,3236.5557,1041.5863,5431.525,2683.0,-978.58044,6344.5806,2683.0,-978.58044,6344.5806,3224.8801,1029.5806,5420.1797,3224.8801,1029.5806,5420.1797,3834.1729,1562.9127,6105.433,3409.336,346.0846,6200.8765
110,IN_D02,2025-07-01,2313.0,-2030.7397,6656.7397,3236.5557,1041.5863,5431.525,4631.0,969.41956,8292.58,4631.0,969.41956,8292.58,3224.8801,1029.5806,5420.1797,3224.8801,1029.5806,5420.1797,3873.9668,1602.7065,6145.227,3439.4548,-188.48189,6746.06
111,IN_D02,2025-10-01,2313.0,-2702.7188,7328.7188,3236.5557,1041.5863,5431.525,2313.0,-1348.5804,5974.5806,2313.0,-1348.5804,5974.5806,3224.8801,1029.5806,5420.1797,3224.8801,1029.5806,5420.1797,2768.1501,496.88953,5039.4106,2537.1033,-46.807674,5222.2983
112,IN_D03,2025-01-01,34.0,-176.02373,244.02373,222.6207,-55.148136,500.38953,25.0,-252.93977,302.93976,25.0,-252.93977,302.93976,34.0,-176.02371,244.02371,34.0,-176.02371,244.02371,30.896366,-197.16972,258.96246,28.586208,-110.90712,194.7201
113,IN_D03,2025-04-01,34.0,-263.0184,331.0184,222.6207,-55.148136,500.38953,14.0,-263.93976,291.93976,14.0,-263.93976,291.93976,34.0,-263.0184,331.0184,34.0,-263.0184,331.0184,46.03924,-207.1317,299.21017,28.585318,-165.34267,215.32436
114,IN_D03,2025-07-01,34.0,-329.77176,397.77176,222.6207,-55.148136,500.38953,21.0,-256.93976,298.93976,21.0,-256.93976,298.93976,34.0,-329.77176,397.77176,34.0,-329.77176,397.77176,11.505664,-264.51035,287.52167,28.584421,-206.69252,240.45856
115,IN_D03,2025-10-01,34.0,-386.04745,454.04745,222.6207,-55.148136,500.38953,34.0,-243.93977,311.93976,34.0,-243.93977,311.93976,34.0,-386.04742,454.04742,34.0,-386.04742,454.04742,-17.21904,-314.34207,279.904,28.583525,-189.14548,253.96504
116,IN_D04,2025-01-01,14769.0,5533.976,24004.023,14981.777,3654.8638,26308.691,21336.0,8818.682,33853.32,21336.0,8818.682,33853.32,15581.126,6836.633,24325.62,15581.126,6836.633,24325.62,14134.338,5143.0654,23125.61,14738.049,7936.876,22838.115
117,IN_D04,2025-04-01,14769.0,1708.7039,27829.297,14981.777,3654.8638,26308.691,17774.0,5256.6816,30291.318,17774.0,5256.6816,30291.318,15581.126,5796.098,25366.154,15581.126,5796.098,25366.154,13707.581,4650.8193,22764.344,14699.592,6782.101,22811.516
118,IN_D04,2025-07-01,14769.0,-1226.5306,30764.531,14981.777,3654.8638,26308.691,15818.0,3300.6814,28335.318,15818.0,3300.6814,28335.318,15581.126,4856.0444,26306.207,15581.126,4856.0444,26306.207,14269.302,5147.447,23391.156,14663.315,4641.3,23228.062
119,IN_D04,2025-10-01,14769.0,-3701.0479,33239.047,14981.777,3654.8638,26308.691,14769.0,2251.6814,27286.318,14769.0,2251.6814,27286.318,15581.126,3991.9944,27170.258,15581.126,3991.9944,27170.258,13740.008,4553.462,22926.553,14629.038,6117.16,23217.598
