unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_D10,mae,582872.8187499999,110832.01703125,689566.21575,689566.21575,582872.8187499999,582872.8187499999,692506.1359208864,582711.443736406
IN_D11,mae,388477.1225,382727.13971874997,375896.4475,238330.66199999998,448795.1601272613,535822.9876720698,340443.6037485309,337538.73076689104
IN_G01,mae,784021.7692500001,774015.76484375,662457.7180000001,662457.7180000001,771308.6106522733,771308.6106522733,738848.2477866277,774476.1974812434
IN_G02,mae,453387.233,478330.51334375003,385486.3275,365264.68525,478330.51334375015,578969.9797506063,272092.4586318917,331748.83468690544
IN_G03,mae,263093.2922500002,603213.2799374999,432186.49775000033,432186.4977500001,549377.0682554552,560375.3902795797,576189.0867997267,525173.232823099
IN_G04,mae,781814.2017500002,596967.1491562503,916498.2847500001,916498.2847500001,596967.1491562494,596967.1491562494,666470.0772312082,588144.0634329126
IN_H01,mae,11328.52925,11328.52925,13373.456125000004,12362.741500000004,11328.52925,11328.52925,9178.849176058924,11328.52925
IN_H02,mae,1044498.96825,610423.60365625,697349.9794999999,697349.9795,678609.2936572853,692256.4475188028,572627.2724046034,777028.6519493889
IN_H03,mae,283531.875,304854.6179687502,499667.4304999998,499667.4305,448853.89112903224,448853.89112903224,322371.610674805,325033.00585308555
IN_H04,mae,224.17500000000013,368.70253125000016,145.8250000000001,59.599999999999966,140.12572354021307,103.73937376148018,107.43828628096355,97.99141326365685
IN_H05,mae,6738.085,8250.805015625,5076.174999999999,6775.045,6738.085,6738.085,6351.959128566957,5138.323677626442
IN_J01,mae,2816538.2750000004,2915613.5330000017,2077315.4412500001,922641.6575000002,2133149.7809359543,1409240.285651524,1162115.8681971966,1922040.0693799462
IN_J02,mae,65305.994999999995,31676.714625000022,156018.56325,156018.56324999998,179480.9516226711,179480.9516226711,178413.58086571662,106455.64164792978
IN_J04,mae,4837.900000000001,2727.5418281249995,5186.624999999999,5186.625000000001,2427.4990795443655,2427.4990795443655,4865.73714881356,4955.881942846964
IN_J05,mae,485695.67550000007,394204.83587500005,373929.2573750001,385511.01675000007,394204.83587500016,385511.01675000007,211595.78386585752,179427.18802785428
IN_J06,mae,128346.5545,18801.45275,115068.78774999999,115068.78774999999,77884.93157428672,77884.93157428672,128349.36449095202,125136.91829884441
IN_L01,mae,118226.84774999999,103184.54034375,86930.40975000002,91818.08075,118226.84774999999,109712.84184800426,99034.97808445728,86930.40975000002
IN_L02,mae,96029.55924999999,175744.62085937502,113057.155,65029.38625,153708.39620474694,153708.39620474694,124022.17250142008,125714.0880004509
IN_L03,mae,346.78625000000017,2889.0953124999996,825.48,825.48,294.80759175376744,294.80759175376744,599.5924944387573,224.57830007005134
IN_L04,mae,45929.09400000004,84855.647171875,68272.23749999993,77785.4675,45929.09400000004,96891.50898129484,80445.2635872084,45016.471499999985
IN_M01,mae,710899.276,710899.276,710899.276,575548.22575,753880.6094020354,799812.0799047129,605593.1452737144,710899.276
IN_M02,mae,3368648.6875,1659835.6351250003,3049629.25,3049629.25,1827575.0784269474,1827575.0784269474,3114320.49071055,3083296.737920426
IN_M03,mae,248263.21175000025,415026.51148437476,598374.0497499998,598374.0497500002,547197.0859232263,547197.0859232263,1060625.3558231797,249021.17434440274
IN_M04,mae,32476.875,37688.980203124986,53816.25,53816.25,58429.71240053413,58429.71240053413,59155.35318432863,33447.10785036886
IN_M05,mae,4351.377,10402.281125,4136.070249999999,3566.165,4351.377,4351.377,2921.9022546423857,3988.211315729708
IN_M09,mae,4635.945750000002,14183.193211538462,5048.79,5048.79,2848.8258638029047,2848.8258638029047,2934.6264956536634,3346.0402883546267
IN_N01,mae,20821.134499999993,17656.61453125001,26922.93224999999,44382.01299999999,17608.716224624965,17608.716224624965,23152.06100624594,21417.51538473453
IN_N02,mae,1444239.4900000012,2532783.0328124994,1773207.6625000006,2514907.9325,1599984.1966177663,1599984.1966177663,1903291.1062159715,1382575.3018801967
IN_N03,mae,384889.48999999976,1278715.2756249984,755224.3749999995,755224.375,1222057.4981018528,1222057.4981018528,1652127.5828130548,492407.0425014347
IN_N04,mae,85406.375,113909.0244062501,136351.98725,136351.98725,149313.33064516122,149313.33064516122,173595.559933806,123530.58652467758
IN_N05,mae,619118.6524999999,2844676.7106250003,1664370.227500001,1664370.2275,1161331.3742741942,1161331.3742741942,1640146.5393080628,1338158.3200973002
IN_N06,mae,1546360.8675000006,4773481.538125,3338817.0324999997,3338817.0325000007,2721878.1925,2721878.1925,3267978.0383117246,2796028.5110337427
IN_N07,mae,383122.54775,325880.9212499998,279719.46900000016,279719.46900000004,141841.02925000002,141841.02925000002,564196.4745821493,286257.5386743378
IN_P01,mae,64940.828250000006,19101.260187499996,85182.75575,85182.75575000001,79744.12293006408,79744.12293006408,177489.82219663187,88584.62797364572
