unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_M01,mae,9563.0,9563.0,9563.0,9227.0,10587.2138671875,10587.2138671875,7058.3076171875,9563.0
IN_M02,mae,54508.0,27094.71875,49480.75,49480.75,48220.75390625,48220.75390625,53151.0947265625,49470.796875
IN_M03,mae,5373.25,8435.21875,10529.25,10529.25,12047.080078125,12047.080078125,12415.1796875,5410.1875
IN_M04,mae,605.5,786.5625,1137.25,1137.25,903.19384765625,903.19384765625,970.531982421875,609.79296875
IN_M05,mae,482.25,299.25,1045.25,1045.25,482.25,482.25,701.2081298828125,488.6025390625
IN_M09,mae,38.75,123.98076629638672,36.125,34.5,34.64997100830078,34.64997100830078,40.46134567260742,35.21171188354492
IN_N01,mae,668.25,1429.90625,558.875,1142.5,668.25,668.25,962.0265502929688,665.69580078125
IN_N02,mae,46794.0,69934.40625,46794.0,73958.0,45740.9609375,36045.5703125,46595.484375,46794.4765625
IN_N03,mae,4992.5,5200.078125,14854.75,14854.75,13834.7578125,13834.7578125,27556.8984375,5028.390625
IN_N04,mae,1532.5,681.0,2724.5,2724.5,2339.19384765625,2339.19384765625,3709.18994140625,1893.82470703125
IN_N05,mae,15999.25,41539.65625,42678.75,42678.75,27922.953125,27922.953125,38609.9921875,32626.0859375
IN_N06,mae,40089.0,55262.78125,85704.5,85704.5,60436.75,60436.75,78351.90625,58040.953125
IN_N07,mae,14826.0,4067.671875,10125.0,10125.0,4474.67578125,4474.67578125,26775.8193359375,14112.642578125
IN_P01,mae,2238.25,2836.34375,1690.25,1690.25,2836.34375,2836.34375,3057.5145263671875,3171.3974609375
IN_P02,mae,48.0,138.78125,86.375,80.25,138.78125,138.78125,184.73937892913818,107.49301147460938
IN_P03,mae,564.5,2541.125,1158.75,1158.75,499.947021484375,254.0482177734375,395.1387939453125,298.47686767578125
IN_R01,mae,18102.5,12199.921875,26319.25,26319.25,11575.810546875,11575.810546875,10855.4013671875,20369.76171875
IN_R02,mae,14473.5,8084.984375,9869.0,12807.5,8084.984375,8084.984375,8505.309204101562,8150.568359375
IN_R03,mae,48951.75,13133.75,57495.0,57495.0,81347.4765625,81347.4765625,74399.609375,74322.2578125
IN_R05,mae,12479.5,3692.0,8119.0,8936.5,3056.29296875,3056.29296875,5184.3779296875,7975.99609375
IN_R06,mae,40753.0,13042.953125,29975.75,29975.75,32663.171875,32663.171875,36205.921875,33695.859375
IN_R07,mae,19.75,316.5,22.0,34.5,111.54118347167969,111.54118347167969,109.73410034179688,114.49240112304688
IN_S01,mae,27275.0,11257.953125,19078.25,21511.25,11257.953125,11257.953125,14020.10546875,12388.466796875
IN_S02,mae,6800.25,5606.96875,3696.625,7355.5,6546.38720703125,5966.4388427734375,3334.460693359375,4114.96875
IN_S03,mae,3249.75,3249.75,3249.75,3645.25,3404.1004638671875,3404.1004638671875,4081.6754150390625,3249.75
IN_V03,mae,12348.25,12348.25,21334.125,33300.0,21944.20703125,28462.0673828125,27504.546875,22367.88330078125
IN_V04,mae,11973.5,5353.625,11744.5,11744.5,11783.52182006836,11783.52182006836,11952.724044799805,10984.61865234375
IN_V06,mae,104.0,81.5,129.0,140.5,93.70571708679199,93.70571708679199,108.86559581756592,106.93333053588867
IN_V07,mae,73.25,227.9375,69.25,104.75,73.25,73.25,71.08314514160156,50.598876953125
IN_A01,mse,4353017745.0,107121985.50878906,3243648353.8125,3578397870.75,4353017745.0,4353017745.0,5685138745.94606,4497605427.36261
IN_A02,mse,290119918.75,242500305.68066406,1050133737.1875,1273546506.5,477037965.1875,477037965.1875,678978108.225769,457732141.03515625
IN_A03,mse,3087914.0,780920.03515625,15760327.25,16336657.5,3087914.0,3087914.0,7366508.599802971,3139947.150302887
IN_A04,mse,49457085.5,256354294.44628906,76263408.0625,40682463.25,49457085.5,49457085.5,61543363.7305603,48248610.29711914
IN_A05,mse,6549.25,5670.7978515625,17602.1875,14522.5,6549.25,6549.25,10637.530116224661,6618.984048619866
IN_A06,mse,1717303549.5,3619902706.0664062,1344792244.8125,1068793361.75,1487188451.340088,1487188451.340088,1131780508.1681213,1412552474.5049438
IN_A07,mse,1127791535.5,112915524.5625,818890668.0625,904547415.25,838001794.4136353,838001794.4136353,993871284.1342964,790054741.6289062
IN_A09,mse,28052.5,47566.75,72096.5,56920.5,28052.5,28052.5,78304.99377344549,55206.122809678316
IN_A10,mse,167180685.25,669973568.0351562,872810423.9375,746723773.0,167180685.25,167180685.25,714905716.0092163,169642101.98461914
IN_A11,mse,5138005.5,165348872.72265625,4504200.25,11614851.0,7976871.555778503,24444029.355472565,8835194.06760025,6437685.091636658
IN_A12,mse,313182184.75,46129697.54785156,494356230.6875,469357288.5,129695875.8805294,154605057.9638601,457739893.30171585,316421130.89086914
IN_A16,mse,6399.5,88358.34765625,15125.75,13894.5,4145.347476437688,15002.670369062573,4691.656138315797,6167.361129209399
IN_B01,mse,259170651.5,108997124.69140625,89112657.5,184506418.5,259170651.5,259170651.5,73413765.27064896,224800356.49024963
IN_B02,mse,793537.25,613754.41015625,1545002.25,3363740.25,826469.9527269006,826469.9527269006,1803635.7817377597,834514.3727324009
IN_B03,mse,200830929.0,44113255.69628906,245771799.0,245291966.5,235859414.3383217,235859414.3383217,93953628.05751419,192171722.99342346
IN_B05,mse,181988607.5,49520780.68066406,203276046.75,207382450.5,113255579.41087914,113255579.41087914,220872722.17592072,182133955.70071507
IN_B06,mse,172740.75,71153.2822265625,38612.4375,59856.5,70702.68282914162,70702.68282914162,38476.73396396078,66601.22005406395
IN_C01,mse,614997022.5,409665424.765625,356901681.5625,351811405.75,409665424.765625,390557780.8788185,422384953.77393913,413912815.60699844
IN_C02,mse,307408557.5,48098587.44140625,239234248.3125,259420307.25,221303708.140625,301419053.6976776,222561142.60769653,253835540.6772766
IN_C03,mse,54398991.0,77325551.64941406,158593189.75,124522515.5,104848203.86743164,104848203.86743164,387655518.34872437,79421428.26470947
IN_C04,mse,635.5,15618.41015625,791.5,910.5,2537.122699108033,2537.122699108033,647.2021156096598,2098.2390289902687
IN_C05,mse,45006328.5,5668095.7587890625,36320584.5,64051984.0,10917262.773902655,2425141.6981344223,34531810.478853226,25498236.541477203
IN_C07,mse,94587697.0,40355954.84765625,270921953.3125,241033708.25,136203590.63378906,136203590.63378906,258020104.40705872,95350429.15063477
IN_C08,mse,29995024.5,19546418.852539062,89225902.3125,73427736.75,91711438.11805725,91711438.11805725,94406849.64694977,34460309.63690567
IN_C09,mse,213332353.5,104512804.50390625,599656314.25,564366602.5,213332353.5,213332353.5,421174435.0326843,214973307.9439087
IN_C10,mse,98773756.75,79524224.4375,309408834.4375,268926359.5,98773756.75,98773756.75,253749668.743042,99717593.91015625
IN_D01,mse,23105994.5,54631008.39941406,50412026.5,91006864.5,49456572.47837448,49456572.47837448,84257252.75991344,47188838.99695206
IN_D02,mse,988691.25,813022.1337890625,1924983.75,2342196.25,896958.1097182631,896958.1097182631,656196.738113761,696220.005260095
IN_D03,mse,162.5,53404.00842629396,2332.3125,12451.75,47121.56825425703,47121.56825425703,1960.5580234134354,610.3457450352289
IN_D04,mse,65127046.25,13813927.985351562,33983851.1875,31811931.5,65127046.25,65127046.25,45032517.22633386,44594030.60173297
IN_D05,mse,3785177.5,8794330.290039062,1798104.0625,1393027.75,3785177.5,3785177.5,4190049.508744389,3608229.698356688
IN_D06,mse,112985452.5,114431520.00878906,241890068.8125,254548134.75,234804852.20044327,234804852.20044327,262354820.53733253,236530678.57538223
IN_D07,mse,353964690.0,794582972.390625,373152604.0625,97583467.25,353964690.0,353964690.0,322121697.56222534,354443937.0405884
IN_D08,mse,36863577.25,8701771.703125,8082163.9375,22621299.5,8701771.703125,10094985.114780031,10289872.869064115,8123909.988023177
IN_D10,mse,531257536.25,26993769.930664062,580386918.4375,576065447.0,531257536.25,531257536.25,666582348.0216637,530587542.72753906
IN_D11,mse,38359564.5,57610388.89941406,18712805.5625,9631131.25,38359564.5,96405243.57192129,19563425.079369307,37497661.984436035
IN_G01,mse,155416168.25,207737656.76660156,232512586.6875,273333570.5,207737656.76660156,207737656.76660156,265407909.53560352,221727155.4599762
IN_G02,mse,79424797.75,79427628.21191406,79105299.75,81911793.75,79427628.21191406,95523609.35839748,57235421.27151346,55025377.2863667
IN_G03,mse,103773241.25,32918779.25390625,331711508.9375,318516755.5,175398975.97329712,110025932.50532532,367887718.6770935,263996127.2646942
IN_G04,mse,3484279.5,4283809.22265625,4084057.5,2163881.0,2366669.292441368,2366669.292441368,14167369.103401184,3433932.9302368164
IN_H01,mse,27691.25,104736.8994140625,89367.6875,75325.5,53180.84534224868,53180.84534224868,15836.040174528956,27492.960808753967
IN_H02,mse,1904394247.5,691650760.1650391,1157291638.25,1176891915.5,852976268.821619,649591207.2474651,896088774.5678749,786323760.6962891
IN_H03,mse,46639078.75,56927317.00097656,141192827.75,127806720.75,46639078.75,46639078.75,54880715.13256073,49023271.69361496
IN_H04,mse,30546.25,243053.3525390625,21713.25,16397.25,22856.287996575236,41346.214072309434,22249.992652941495,15175.598342236131
IN_H05,mse,8014.25,16085738.75,28959.6875,39032.5,8413243.333291858,6437882.821157485,498876.3350849438,8014.978812590241
IN_J01,mse,507657368.5,2517138417.0625,735655889.5,554318009.0,507657368.5,507657368.5,124251467.27978516,497122978.12890625
IN_J02,mse,21203206.5,59901193.09765625,65500234.25,133595542.5,43833202.36375809,76308397.34334469,105365730.37825584,34368072.081604004
IN_J04,mse,12696.75,6996.703125,7724.25,10521.75,5731.497923676623,5731.497923676623,10792.212463608012,10639.376724243164
IN_J05,mse,128498277.0,83964413.32910156,95925871.0625,93782166.25,83964413.32910156,83272272.41251469,92601361.51231956,83330242.12729263
IN_J06,mse,1702049.0,703761.1103515625,1988558.5625,1799065.25,678797.0787454396,1254804.792659808,1640539.8260660805,1097599.5537392423
IN_L01,mse,13729221.5,13068630.50390625,17039482.25,10880679.5,62865445.61282635,62865445.61282635,59267104.26754284,10208081.049991608
IN_L02,mse,14660861.75,44433371.453125,9838027.75,8224068.75,18877112.799144506,18877112.799144506,11301105.31251192,11154567.296578407
IN_L03,mse,66934.75,345186.6572265625,178512.25,149744.75,66934.75,66934.75,231447.8086662963,67342.85147453845
IN_L04,mse,3373161.5,26063194.25,9009705.25,8224722.5,8584475.517107964,8584475.517107964,13247247.05742073,5797310.115054131
IN_M01,mse,101052722.5,134044344.36035156,113952266.5,98073866.5,192795277.72800827,192795277.72800827,59847520.829898834,101485105.35797119
IN_M02,mse,2973992457.5,736994177.6416016,2451215014.0625,2473840944.75,2328111500.7871246,2328111500.7871246,2841078002.2260323,2450230136.94751
IN_M03,mse,63817835.75,81467798.16015625,145811125.75,120132434.75,194262265.31175232,194262265.31175232,195327131.16326904,64216148.97265625
IN_M04,mse,547306.5,799356.81640625,1474013.8125,1321145.25,996435.3764441013,996435.3764441013,1140837.1729639769,552523.7147369385
IN_M05,mse,429027.25,242754.3994140625,1289009.75,1106073.75,429027.25,429027.25,708735.9710802436,435194.62867832184
IN_M09,mse,2051.25,15920.917911439261,1739.9375,1852.5,1259.246939106728,1259.246939106728,1856.8966880614753,1400.024775818747
IN_N01,mse,591017.75,2393831.5712890625,490199.9375,2592371.5,591017.75,591017.75,1672975.154595986,586019.735871315
IN_N02,mse,3900933376.5,7188192573.790039,3543284902.5,6181094351.5,2280374252.387451,1426527130.9475098,3821716082.6396484,3037204169.6271973
IN_N03,mse,63444208.5,39971944.52441406,260488206.0625,229864432.25,247606959.35925293,247606959.35925293,804710151.7064209,64147074.79785156
IN_N04,mse,3297840.5,1199096.78515625,8372184.5,7636411.5,7156443.248923302,7156443.248923302,14604737.519324303,4801059.60381794
IN_N05,mse,602944177.75,2078159446.055664,2174092106.25,1913452545.25,1338013301.650879,1338013301.650879,1919017230.9211426,1462556094.1872559
IN_N06,mse,2779787473.0,4036789047.9414062,8517920872.25,7714209195.0,5480178791.228516,5480178791.228516,7581280625.556641,5078532610.741211
IN_N07,mse,235453533.5,17447829.930664062,118158882.5,132754570.0,35665980.8473053,35665980.8473053,919554212.279377,216131425.32035828
IN_P01,mse,5014619.25,8049702.0556640625,2861801.25,3710066.25,8049702.0556640625,8049702.0556640625,10769552.417826712,10062618.042740822
IN_P02,mse,5759.5,24207.4853515625,7677.3125,11603.25,24207.4853515625,24207.4853515625,43371.16411278899,13874.858532760292
IN_P03,mse,369039.5,6673865.515625,1559250.8125,1371608.75,254243.49714890122,79207.41012951732,194257.28197011352,164423.72926725447
IN_R01,mse,457180501.0,251656402.80566406,822182915.3125,842099918.25,231917959.2449875,231917959.2449875,186112423.82512283,544407187.228653
IN_R02,mse,315947082.5,106801896.78222656,176145636.5,223841360.5,106801896.78222656,106801896.78222656,220378753.3585437,106664791.01236916
IN_R03,mse,2675181034.25,290001726.27441406,3584582231.1875,3483999987.0,7075760288.422119,7075760288.422119,5991172335.936523,5952003208.241943
IN_R05,mse,175526567.5,23926184.633789062,85706808.25,108051552.5,15352003.39112091,15352003.39112091,70195801.7510109,83405160.93751526
IN_R06,mse,1833947627.0,249561542.88378906,1071686206.0625,1308940477.75,1240023414.935791,1240023414.935791,1554612725.0794678,1308551557.0197754
IN_R07,mse,787.75,100569.9375,881.6875,1421.0,14094.815107381903,14094.815107381903,13556.827611986548,16066.986830143258
