State,Year,Quarter,Average_pop
AL,2021.0,2.0,1181693.3333333333
AL,2021.0,3.0,1207181.6666666667
AL,2021.0,4.0,1230629.0
AL,2022.0,1.0,1253956.6666666667
AL,2022.0,2.0,1272591.3333333333
AL,2022.0,3.0,1295523.6666666667
AL,2022.0,4.0,1317604.0
AL,2023.0,1.0,1347926.0
AL,2023.0,2.0,1369909.0
AL,2023.0,3.0,1325098.0
AL,2023.0,4.0,1251657.0
AL,2024.0,1.0,1192647.6666666667
AL,2024.0,2.0,1122485.3333333333
AL,2024.0,3.0,1091271.0
AL,2024.0,4.0,1085180.6666666667
AR,2014.0,1.0,866722.6666666666
AR,2014.0,2.0,821864.3333333334
AR,2014.0,3.0,842529.0
AR,2014.0,4.0,855266.6666666666
AR,2015.0,1.0,1178006.6666666667
AR,2015.0,2.0,919116.3333333334
AR,2015.0,3.0,917396.6666666666
AR,2015.0,4.0,939481.3333333334
AR,2016.0,1.0,928906.0
AR,2016.0,2.0,882018.3333333334
AR,2016.0,3.0,928853.0
AR,2016.0,4.0,952536.3333333334
AR,2017.0,1.0,954168.0
AR,2017.0,2.0,939271.3333333334
AR,2017.0,3.0,937571.3333333334
AR,2017.0,4.0,931862.6666666666
AR,2018.0,1.0,923930.3333333334
AR,2018.0,2.0,921438.6666666666
AR,2018.0,3.0,911571.3333333334
AR,2018.0,4.0,860208.0
AR,2019.0,1.0,833060.3333333334
AR,2019.0,2.0,825826.6666666666
AR,2019.0,3.0,830106.3333333334
AR,2019.0,4.0,835105.0
AR,2020.0,1.0,832768.6666666666
AR,2020.0,2.0,855881.6666666666
AR,2020.0,3.0,882775.3333333334
AR,2020.0,4.0,911025.0
AR,2021.0,1.0,934674.6666666666
AR,2021.0,2.0,950707.3333333334
AR,2021.0,3.0,969103.3333333334
AR,2021.0,4.0,987616.0
AR,2022.0,1.0,1007158.0
AR,2022.0,2.0,1032172.6666666666
AR,2022.0,3.0,1044947.3333333334
AR,2022.0,4.0,1060932.6666666667
AR,2023.0,1.0,1080359.0
AR,2023.0,2.0,1015619.3333333334
AR,2023.0,3.0,874187.3333333334
AR,2023.0,4.0,818166.0
AR,2024.0,1.0,805184.0
AR,2024.0,2.0,812343.6666666666
AR,2024.0,3.0,811723.3333333334
AR,2024.0,4.0,800972.3333333334
AS,2017.0,4.0,27898.0
AS,2018.0,1.0,27898.0
AS,2018.0,2.0,27898.0
AS,2018.0,3.0,27898.0
AS,2018.0,4.0,28183.0
AS,2019.0,1.0,28183.0
AS,2019.0,2.0,37829.0
AS,2019.0,3.0,37829.0
AS,2019.0,4.0,35002.0
AS,2020.0,1.0,35002.0
AS,2020.0,2.0,35002.0
AS,2020.0,3.0,35002.0
AS,2020.0,4.0,37756.0
AS,2021.0,1.0,37756.0
AS,2021.0,2.0,37756.0
AS,2021.0,3.0,37756.0
AS,2021.0,4.0,31434.0
AS,2022.0,1.0,31434.0
AS,2022.0,2.0,31434.0
AS,2022.0,3.0,31434.0
AS,2022.0,4.0,33887.0
AS,2023.0,1.0,33887.0
AS,2023.0,2.0,33887.0
AS,2023.0,3.0,33887.0
AS,2023.0,4.0,33746.0
AS,2024.0,1.0,33746.0
AS,2024.0,2.0,33746.0
AS,2024.0,3.0,33746.0
AS,2024.0,4.0,31150.0
AZ,2014.0,1.0,1451044.0
AZ,2014.0,2.0,1573708.6666666667
AZ,2014.0,3.0,1686447.6666666667
AZ,2014.0,4.0,1723678.6666666667
AZ,2015.0,1.0,1728164.3333333333
AZ,2015.0,2.0,1754268.3333333333
AZ,2015.0,3.0,1815228.6666666667
AZ,2015.0,4.0,1877248.3333333333
AZ,2016.0,1.0,1896147.3333333333
AZ,2016.0,2.0,1891561.0
AZ,2016.0,3.0,1907716.0
AZ,2016.0,4.0,1942573.0
AZ,2017.0,1.0,1945027.6666666667
AZ,2017.0,2.0,1937251.0
AZ,2017.0,3.0,1931021.3333333333
AZ,2017.0,4.0,1934234.6666666667
AZ,2018.0,1.0,1891265.0
AZ,2018.0,2.0,1867824.0
AZ,2018.0,3.0,1874902.6666666667
AZ,2018.0,4.0,1874802.6666666667
AZ,2019.0,1.0,1877310.0
AZ,2019.0,2.0,1869703.0
AZ,2019.0,3.0,1886558.6666666667
AZ,2019.0,4.0,1889215.6666666667
AZ,2020.0,1.0,1873437.3333333333
AZ,2020.0,2.0,1946241.0
AZ,2020.0,3.0,2022184.6666666667
AZ,2020.0,4.0,2081176.3333333333
AZ,2021.0,1.0,2131127.6666666665
AZ,2021.0,2.0,2178143.3333333335
AZ,2021.0,3.0,2224804.6666666665
AZ,2021.0,4.0,2266357.3333333335
AZ,2022.0,1.0,2302339.3333333335
AZ,2022.0,2.0,2351818.3333333335
AZ,2022.0,3.0,2382008.3333333335
AZ,2022.0,4.0,2420051.3333333335
AZ,2023.0,1.0,2608516.3333333335
AZ,2023.0,2.0,2387769.3333333335
AZ,2023.0,3.0,2406995.6666666665
AZ,2023.0,4.0,2180298.0
AZ,2024.0,1.0,2174480.0
AZ,2024.0,2.0,2168885.3333333335
AZ,2024.0,3.0,2145289.0
AZ,2024.0,4.0,2089211.3333333333
CA,2014.0,1.0,13365631.666666666
CA,2014.0,2.0,13980258.0
CA,2014.0,3.0,5529373.666666667
CA,2014.0,4.0,14104689.0
CA,2015.0,1.0,13960781.666666666
CA,2015.0,2.0,13630340.0
CA,2015.0,3.0,13316623.0
CA,2015.0,4.0,13148939.0
CA,2016.0,1.0,13093534.0
CA,2016.0,2.0,12764492.0
CA,2016.0,3.0,12073575.666666666
CA,2016.0,4.0,12032626.0
CA,2017.0,1.0,11821194.333333334
CA,2017.0,2.0,11688252.0
CA,2017.0,3.0,11316818.666666666
CA,2017.0,4.0,13109776.333333334
CA,2018.0,1.0,13082849.0
CA,2018.0,2.0,12987836.333333334
CA,2018.0,3.0,12858150.333333334
CA,2018.0,4.0,12785341.333333334
CA,2019.0,1.0,12712384.333333334
CA,2019.0,2.0,12581041.0
CA,2019.0,3.0,12562396.666666666
CA,2019.0,4.0,12391835.0
CA,2020.0,1.0,12218098.0
CA,2020.0,2.0,12448511.666666666
CA,2020.0,3.0,12848760.0
CA,2020.0,4.0,13114364.333333334
CA,2021.0,1.0,13393550.333333334
CA,2021.0,2.0,13600543.0
CA,2021.0,3.0,13803171.0
CA,2021.0,4.0,13979532.666666666
CA,2022.0,1.0,14198083.0
CA,2022.0,2.0,14458082.333333334
CA,2022.0,3.0,14723000.333333334
CA,2022.0,4.0,14934860.333333334
CA,2023.0,1.0,15162012.666666666
CA,2023.0,2.0,15345432.666666666
CA,2023.0,3.0,15244707.666666666
CA,2023.0,4.0,14836794.333333334
CA,2024.0,1.0,14776719.666666666
CA,2024.0,2.0,14640206.333333334
CA,2024.0,3.0,14860128.0
CA,2024.0,4.0,14868487.666666666
CO,2014.0,1.0,930054.3333333334
CO,2014.0,2.0,1026231.3333333334
CO,2014.0,3.0,1088002.3333333333
CO,2014.0,4.0,1132798.6666666667
CO,2015.0,1.0,1192191.0
CO,2015.0,2.0,1231830.0
CO,2015.0,3.0,1259514.6666666667
CO,2015.0,4.0,1285072.6666666667
CO,2016.0,1.0,1314377.3333333333
CO,2016.0,2.0,1328980.6666666667
CO,2016.0,3.0,1333838.3333333333
CO,2016.0,4.0,1339078.6666666667
CO,2017.0,1.0,1345945.6666666667
CO,2017.0,2.0,1365833.6666666667
CO,2017.0,3.0,1362938.0
CO,2017.0,4.0,1316861.3333333333
CO,2018.0,1.0,1298917.3333333333
CO,2018.0,2.0,1286687.0
CO,2018.0,3.0,1298391.3333333333
CO,2018.0,4.0,1276583.0
CO,2019.0,1.0,1254404.0
CO,2019.0,2.0,1235000.0
CO,2019.0,3.0,1230346.3333333333
CO,2019.0,4.0,1217316.0
CO,2020.0,1.0,1198636.3333333333
CO,2020.0,2.0,1255693.6666666667
CO,2020.0,3.0,1325283.3333333333
CO,2020.0,4.0,1390572.0
CO,2021.0,1.0,1445022.0
CO,2021.0,2.0,1483499.0
CO,2021.0,3.0,1518333.6666666667
CO,2021.0,4.0,1551833.3333333333
CO,2022.0,1.0,1587516.3333333333
CO,2022.0,2.0,1617074.6666666667
CO,2022.0,3.0,1641633.0
CO,2022.0,4.0,1672232.6666666667
CO,2023.0,1.0,1710726.0
CO,2023.0,2.0,1699990.0
CO,2023.0,3.0,1581996.0
CO,2023.0,4.0,1434839.6666666667
CO,2024.0,1.0,1265052.3333333333
CO,2024.0,2.0,1151337.3333333333
CO,2024.0,3.0,1163359.3333333333
CO,2024.0,4.0,1188305.6666666667
CT,2014.0,1.0,696880.6666666666
CT,2014.0,2.0,808570.3333333334
CT,2014.0,3.0,836235.6666666666
CT,2014.0,4.0,850072.6666666666
CT,2015.0,1.0,826246.6666666666
CT,2015.0,2.0,818215.0
CT,2015.0,3.0,797339.3333333334
CT,2015.0,4.0,828224.6666666666
CT,2016.0,1.0,848968.0
CT,2016.0,2.0,861268.6666666666
CT,2016.0,3.0,852844.6666666666
CT,2016.0,4.0,892075.3333333334
CT,2017.0,1.0,901842.0
CT,2017.0,2.0,892401.0
CT,2017.0,3.0,890228.6666666666
CT,2017.0,4.0,910168.3333333334
CT,2018.0,1.0,920697.0
CT,2018.0,2.0,925831.3333333334
CT,2018.0,3.0,935486.6666666666
CT,2018.0,4.0,942762.6666666666
CT,2019.0,1.0,951897.3333333334
CT,2019.0,2.0,952741.6666666666
CT,2019.0,3.0,951455.3333333334
CT,2019.0,4.0,951734.6666666666
CT,2020.0,1.0,953966.3333333334
CT,2020.0,2.0,978442.6666666666
CT,2020.0,3.0,998774.6666666666
CT,2020.0,4.0,1031718.3333333334
CT,2021.0,1.0,1063600.3333333333
CT,2021.0,2.0,1079836.6666666667
CT,2021.0,3.0,1113695.0
CT,2021.0,4.0,1132410.6666666667
CT,2022.0,1.0,1109341.3333333333
CT,2022.0,2.0,1121387.6666666667
CT,2022.0,3.0,1143364.3333333333
CT,2022.0,4.0,1159965.6666666667
CT,2023.0,1.0,1179182.6666666667
CT,2023.0,2.0,1180692.0
CT,2023.0,3.0,1147671.6666666667
CT,2023.0,4.0,1115740.3333333333
CT,2024.0,1.0,1115899.3333333333
CT,2024.0,2.0,1093107.3333333333
CT,2024.0,3.0,1089128.6666666667
CT,2024.0,4.0,1080103.6666666667
DC,2014.0,1.0,227812.66666666666
DC,2014.0,2.0,235604.66666666666
DC,2014.0,3.0,239763.0
DC,2014.0,4.0,242968.66666666666
DC,2015.0,1.0,248662.0
DC,2015.0,2.0,249242.0
DC,2015.0,3.0,249768.0
DC,2015.0,4.0,242512.0
DC,2016.0,1.0,246460.0
DC,2016.0,2.0,246407.66666666666
DC,2016.0,3.0,239351.0
DC,2016.0,4.0,247836.0
DC,2017.0,1.0,253182.0
DC,2017.0,2.0,257318.66666666666
DC,2017.0,3.0,260507.66666666666
DC,2017.0,4.0,263084.6666666667
DC,2018.0,1.0,263268.6666666667
DC,2018.0,2.0,260290.66666666666
DC,2018.0,3.0,260700.33333333334
DC,2018.0,4.0,260837.0
DC,2019.0,1.0,260772.0
DC,2019.0,2.0,259927.66666666666
DC,2019.0,3.0,262395.0
DC,2019.0,4.0,262853.6666666667
DC,2020.0,1.0,255963.0
DC,2020.0,2.0,259851.0
DC,2020.0,3.0,266199.0
DC,2020.0,4.0,259062.0
DC,2021.0,1.0,263910.6666666667
DC,2021.0,2.0,267327.3333333333
DC,2021.0,3.0,270877.0
DC,2021.0,4.0,275240.3333333333
DC,2022.0,1.0,279313.6666666667
DC,2022.0,2.0,283067.3333333333
DC,2022.0,3.0,329570.0
DC,2022.0,4.0,290040.3333333333
DC,2023.0,1.0,293287.3333333333
DC,2023.0,2.0,295598.0
DC,2023.0,3.0,291259.6666666667
DC,2023.0,4.0,283780.3333333333
DC,2024.0,1.0,274578.0
DC,2024.0,2.0,267455.0
DC,2024.0,3.0,261280.33333333334
DC,2024.0,4.0,262671.6666666667
DE,2014.0,1.0,196376.0
DE,2014.0,2.0,194814.66666666666
DE,2014.0,3.0,200071.33333333334
DE,2014.0,4.0,203526.66666666666
DE,2015.0,1.0,208563.66666666666
DE,2015.0,2.0,210104.0
DE,2015.0,3.0,211450.66666666666
DE,2015.0,4.0,210416.0
DE,2016.0,1.0,217853.0
DE,2016.0,2.0,203859.0
DE,2016.0,3.0,202186.66666666666
DE,2016.0,4.0,203195.33333333334
DE,2017.0,1.0,207584.33333333334
DE,2017.0,2.0,206896.0
DE,2017.0,3.0,209295.33333333334
DE,2017.0,4.0,211004.66666666666
DE,2018.0,1.0,211253.66666666666
DE,2018.0,2.0,209852.0
DE,2018.0,3.0,211124.0
DE,2018.0,4.0,145885.66666666666
DE,2019.0,1.0,219247.0
DE,2019.0,2.0,204867.33333333334
DE,2019.0,3.0,213796.33333333334
DE,2019.0,4.0,212259.66666666666
DE,2020.0,1.0,213170.33333333334
DE,2020.0,2.0,220473.66666666666
DE,2020.0,3.0,229183.66666666666
DE,2020.0,4.0,236517.33333333334
DE,2021.0,1.0,244210.33333333334
DE,2021.0,2.0,251002.33333333334
DE,2021.0,3.0,257048.33333333334
DE,2021.0,4.0,263558.3333333333
DE,2022.0,1.0,270390.3333333333
DE,2022.0,2.0,276558.0
DE,2022.0,3.0,282482.3333333333
DE,2022.0,4.0,288277.3333333333
DE,2023.0,1.0,292990.6666666667
DE,2023.0,2.0,299336.6666666667
DE,2023.0,3.0,291172.6666666667
DE,2023.0,4.0,277525.3333333333
DE,2024.0,1.0,261443.0
DE,2024.0,2.0,247045.0
DE,2024.0,3.0,235902.0
DE,2024.0,4.0,233437.0
FL,2014.0,1.0,3776828.6666666665
FL,2014.0,2.0,3872654.6666666665
FL,2014.0,3.0,3921510.6666666665
FL,2014.0,4.0,3944231.3333333335
FL,2015.0,1.0,4030842.6666666665
FL,2015.0,2.0,4040165.3333333335
FL,2015.0,3.0,3976079.3333333335
FL,2015.0,4.0,3998873.0
FL,2016.0,1.0,4016503.6666666665
FL,2016.0,2.0,4010695.0
FL,2016.0,3.0,3987996.6666666665
FL,2016.0,4.0,3998566.0
FL,2017.0,1.0,4063863.6666666665
FL,2017.0,2.0,4045939.6666666665
FL,2017.0,3.0,4008700.0
FL,2017.0,4.0,4004565.0
FL,2018.0,1.0,3959854.3333333335
FL,2018.0,2.0,3889010.0
FL,2018.0,3.0,3819999.6666666665
FL,2018.0,4.0,3808965.0
FL,2019.0,1.0,3761522.6666666665
FL,2019.0,2.0,3795238.6666666665
FL,2019.0,3.0,3793870.0
FL,2019.0,4.0,3770941.0
FL,2020.0,1.0,3753170.6666666665
FL,2020.0,2.0,4032456.0
FL,2020.0,3.0,4236961.666666667
FL,2020.0,4.0,4432365.666666667
FL,2021.0,1.0,4613862.0
FL,2021.0,2.0,4764551.0
FL,2021.0,3.0,4884479.333333333
FL,2021.0,4.0,5008524.666666667
FL,2022.0,1.0,5155968.0
FL,2022.0,2.0,5212099.0
FL,2022.0,3.0,5370780.0
FL,2022.0,4.0,5507253.333333333
FL,2023.0,1.0,5718928.333333333
FL,2023.0,2.0,5532479.333333333
FL,2023.0,3.0,5370780.0
FL,2023.0,4.0,4992872.666666667
FL,2024.0,1.0,4799019.333333333
FL,2024.0,2.0,4326954.666666667
FL,2024.0,3.0,4258837.0
FL,2024.0,4.0,4178927.0
GA,2014.0,1.0,1639532.6666666667
GA,2014.0,2.0,1721245.0
GA,2014.0,3.0,1776824.3333333333
GA,2014.0,4.0,1796793.0
GA,2015.0,1.0,1828409.6666666667
GA,2015.0,2.0,1843693.6666666667
GA,2015.0,3.0,1865862.0
GA,2015.0,4.0,1866028.6666666667
GA,2016.0,1.0,1862223.6666666667
GA,2016.0,2.0,1862089.6666666667
GA,2016.0,3.0,1855856.6666666667
GA,2016.0,4.0,1833092.3333333333
GA,2017.0,1.0,1836004.3333333333
GA,2017.0,2.0,1843098.3333333333
GA,2017.0,3.0,1865054.0
GA,2017.0,4.0,1944540.6666666667
GA,2018.0,1.0,1959811.0
GA,2018.0,2.0,1956849.6666666667
GA,2018.0,3.0,1952723.3333333333
GA,2018.0,4.0,1943638.6666666667
GA,2019.0,1.0,1958765.0
GA,2019.0,2.0,1963102.0
GA,2019.0,3.0,1986926.6666666667
GA,2019.0,4.0,2038961.0
GA,2020.0,1.0,2037565.0
GA,2020.0,2.0,2053823.0
GA,2020.0,3.0,2125357.3333333335
GA,2020.0,4.0,2206010.6666666665
GA,2021.0,1.0,2269494.0
GA,2021.0,2.0,2302665.3333333335
GA,2021.0,3.0,2352917.0
GA,2021.0,4.0,2402930.0
GA,2022.0,1.0,2445790.0
GA,2022.0,2.0,2486655.0
GA,2022.0,3.0,2521825.3333333335
GA,2022.0,4.0,2538193.6666666665
GA,2023.0,1.0,2550796.6666666665
GA,2023.0,2.0,2610345.6666666665
GA,2023.0,3.0,2520090.3333333335
GA,2023.0,4.0,2319285.3333333335
GA,2024.0,1.0,2144125.0
GA,2024.0,2.0,2216229.3333333335
GA,2024.0,3.0,2171651.0
GA,2024.0,4.0,2177891.0
GU,2014.0,1.0,37090.333333333336
GU,2014.0,2.0,36914.0
GU,2014.0,3.0,36831.0
GU,2014.0,4.0,36800.333333333336
GU,2015.0,1.0,36584.333333333336
GU,2015.0,2.0,35890.333333333336
GU,2015.0,3.0,36037.333333333336
GU,2015.0,4.0,35890.333333333336
GU,2016.0,1.0,35970.666666666664
GU,2016.0,2.0,35729.666666666664
GU,2016.0,3.0,35515.333333333336
GU,2016.0,4.0,35574.666666666664
GU,2017.0,1.0,35805.0
GU,2017.0,2.0,35953.333333333336
GU,2017.0,3.0,35891.333333333336
GU,2017.0,4.0,35805.0
GU,2018.0,1.0,35612.666666666664
GU,2018.0,2.0,36124.666666666664
GU,2018.0,3.0,36277.333333333336
GU,2018.0,4.0,36411.333333333336
GU,2019.0,1.0,36192.0
GU,2019.0,2.0,35685.333333333336
GU,2019.0,3.0,35385.666666666664
GU,2019.0,4.0,34784.333333333336
GU,2020.0,1.0,34095.333333333336
GU,2020.0,2.0,34038.333333333336
GU,2020.0,3.0,33370.0
GU,2020.0,4.0,32462.333333333332
GU,2021.0,1.0,32215.666666666668
GU,2021.0,2.0,33711.666666666664
GU,2021.0,3.0,37171.666666666664
GU,2021.0,4.0,36442.0
GU,2022.0,1.0,38042.666666666664
GU,2022.0,2.0,39606.666666666664
GU,2022.0,3.0,41615.333333333336
GU,2022.0,4.0,43403.333333333336
GU,2023.0,1.0,44418.0
GU,2023.0,2.0,44234.333333333336
GU,2023.0,3.0,44408.0
GU,2023.0,4.0,44905.333333333336
GU,2024.0,1.0,41860.666666666664
GU,2024.0,2.0,38937.0
GU,2024.0,3.0,35937.0
GU,2024.0,4.0,35873.666666666664
HI,2014.0,1.0,282120.3333333333
HI,2014.0,2.0,290579.3333333333
HI,2014.0,3.0,282178.0
HI,2014.0,4.0,276080.0
HI,2015.0,1.0,291667.3333333333
HI,2015.0,2.0,301266.0
HI,2015.0,3.0,309136.0
HI,2015.0,4.0,316329.0
HI,2016.0,1.0,323438.3333333333
HI,2016.0,2.0,326696.6666666667
HI,2016.0,3.0,329065.3333333333
HI,2016.0,4.0,329377.3333333333
HI,2017.0,1.0,331813.0
HI,2017.0,2.0,331382.0
HI,2017.0,3.0,326670.0
HI,2017.0,4.0,329540.0
HI,2018.0,1.0,331113.3333333333
HI,2018.0,2.0,327476.6666666667
HI,2018.0,3.0,320394.3333333333
HI,2018.0,4.0,315681.0
HI,2019.0,1.0,312190.3333333333
HI,2019.0,2.0,306898.3333333333
HI,2019.0,3.0,310790.0
HI,2019.0,4.0,309716.0
HI,2020.0,1.0,308625.3333333333
HI,2020.0,2.0,321403.3333333333
HI,2020.0,3.0,343506.0
HI,2020.0,4.0,390861.3333333333
HI,2021.0,1.0,409875.6666666667
HI,2021.0,2.0,420505.0
HI,2021.0,3.0,429058.6666666667
HI,2021.0,4.0,436545.3333333333
HI,2022.0,1.0,443716.0
HI,2022.0,2.0,449809.0
HI,2022.0,3.0,456695.0
HI,2022.0,4.0,462268.0
HI,2023.0,1.0,468671.6666666667
HI,2023.0,2.0,469815.6666666667
HI,2023.0,3.0,468730.6666666667
HI,2023.0,4.0,475052.6666666667
HI,2024.0,1.0,477878.3333333333
HI,2024.0,2.0,462308.3333333333
HI,2024.0,3.0,430381.6666666667
HI,2024.0,4.0,413626.3333333333
IA,2014.0,1.0,510702.0
IA,2014.0,2.0,541464.3333333334
IA,2014.0,3.0,547954.6666666666
IA,2014.0,4.0,551988.0
IA,2015.0,1.0,555666.3333333334
IA,2015.0,2.0,572218.3333333334
IA,2015.0,3.0,581754.6666666666
IA,2015.0,4.0,586384.6666666666
IA,2016.0,1.0,588225.6666666666
IA,2016.0,2.0,592672.0
IA,2016.0,3.0,593654.6666666666
IA,2016.0,4.0,596160.6666666666
IA,2017.0,1.0,602619.0
IA,2017.0,2.0,595103.3333333334
IA,2017.0,3.0,590950.0
IA,2017.0,4.0,589673.3333333334
IA,2018.0,1.0,597978.6666666666
IA,2018.0,2.0,603304.3333333334
IA,2018.0,3.0,603821.6666666666
IA,2018.0,4.0,604639.3333333334
IA,2019.0,1.0,603098.3333333334
IA,2019.0,2.0,605434.0
IA,2019.0,3.0,605076.0
IA,2019.0,4.0,603472.0
IA,2020.0,1.0,600909.6666666666
IA,2020.0,2.0,622259.0
IA,2020.0,3.0,648394.0
IA,2020.0,4.0,670405.0
IA,2021.0,1.0,688415.3333333334
IA,2021.0,2.0,708002.0
IA,2021.0,3.0,722045.0
IA,2021.0,4.0,734401.0
IA,2022.0,1.0,748960.0
IA,2022.0,2.0,760286.3333333334
IA,2022.0,3.0,772989.0
IA,2022.0,4.0,787679.6666666666
IA,2023.0,1.0,804116.3333333334
IA,2023.0,2.0,795660.6666666666
IA,2023.0,3.0,708817.6666666666
IA,2023.0,4.0,646580.6666666666
IA,2024.0,1.0,629400.3333333334
IA,2024.0,2.0,605059.3333333334
IA,2024.0,3.0,601664.0
IA,2024.0,4.0,601820.6666666666
ID,2014.0,1.0,273547.0
ID,2014.0,2.0,277037.6666666667
ID,2014.0,3.0,285235.6666666667
ID,2014.0,4.0,289529.3333333333
ID,2015.0,1.0,296249.6666666667
ID,2015.0,2.0,298989.3333333333
ID,2015.0,3.0,300745.3333333333
ID,2015.0,4.0,301989.0
ID,2016.0,1.0,304572.3333333333
ID,2016.0,2.0,306313.6666666667
ID,2016.0,3.0,310346.3333333333
ID,2016.0,4.0,318153.3333333333
ID,2017.0,1.0,319008.0
ID,2017.0,2.0,319898.6666666667
ID,2017.0,3.0,319467.6666666667
ID,2017.0,4.0,320582.3333333333
ID,2018.0,1.0,305424.3333333333
ID,2018.0,2.0,295117.0
ID,2018.0,3.0,301001.6666666667
ID,2018.0,4.0,303807.6666666667
ID,2019.0,1.0,294418.0
ID,2019.0,2.0,298229.3333333333
ID,2019.0,3.0,287735.6666666667
ID,2019.0,4.0,291723.6666666667
ID,2020.0,1.0,342505.0
ID,2020.0,2.0,362277.6666666667
ID,2020.0,3.0,378392.3333333333
ID,2020.0,4.0,393235.3333333333
ID,2021.0,1.0,405971.0
ID,2021.0,2.0,416609.6666666667
ID,2021.0,3.0,421316.0
ID,2021.0,4.0,430494.0
ID,2022.0,1.0,438086.6666666667
ID,2022.0,2.0,444603.6666666667
ID,2022.0,3.0,448399.6666666667
ID,2022.0,4.0,472526.6666666667
ID,2023.0,1.0,481862.6666666667
ID,2023.0,2.0,445049.0
ID,2023.0,3.0,367074.0
ID,2023.0,4.0,366280.6666666667
ID,2024.0,1.0,465849.6666666667
ID,2024.0,2.0,359891.0
ID,2024.0,3.0,347828.0
ID,2024.0,4.0,347320.0
IL,2014.0,1.0,2779608.6666666665
IL,2014.0,2.0,2927461.0
IL,2014.0,3.0,2963569.0
IL,2014.0,4.0,2988896.3333333335
IL,2015.0,1.0,3005481.6666666665
IL,2015.0,2.0,2980818.3333333335
IL,2015.0,3.0,2947795.3333333335
IL,2015.0,4.0,2933134.0
IL,2016.0,1.0,2959028.6666666665
IL,2016.0,2.0,2928380.6666666665
IL,2016.0,3.0,2910365.0
IL,2016.0,4.0,2904903.3333333335
IL,2017.0,1.0,2904882.0
IL,2017.0,2.0,2878470.0
IL,2017.0,3.0,2833521.0
IL,2017.0,4.0,2884864.6666666665
IL,2018.0,1.0,2901152.6666666665
IL,2018.0,2.0,2838548.3333333335
IL,2018.0,3.0,2813200.3333333335
IL,2018.0,4.0,2715744.3333333335
IL,2019.0,1.0,2642231.3333333335
IL,2019.0,2.0,2590201.3333333335
IL,2019.0,3.0,2679109.3333333335
IL,2019.0,4.0,2660947.0
IL,2020.0,1.0,2644775.0
IL,2020.0,2.0,2738163.3333333335
IL,2020.0,3.0,2820711.6666666665
IL,2020.0,4.0,2937347.0
IL,2021.0,1.0,3021028.3333333335
IL,2021.0,2.0,3069916.0
IL,2021.0,3.0,3129447.0
IL,2021.0,4.0,3189034.3333333335
IL,2022.0,1.0,3241818.6666666665
