unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_C05,2019-10-01,mae,218102.43437639033,198157.72196875,222749.54848156945,80838608.10876957
IN_C07,2019-10-01,mae,1544775.5627171681,1306879.685,1640237.093334409,82385154.1161485
IN_C08,2019-10-01,mae,446047.2905589998,329387.09737500007,446614.2998696829,81580065.74568942
IN_C09,2019-10-01,mae,905893.0402845732,802796.96425,761100.8494908931,81997305.34111406
IN_C10,2019-10-01,mae,1432297.4269773792,1154663.719,1486495.0954283504,82270344.90378204
IN_D01,2019-10-01,mae,647920.2202042455,580077.0016875,557139.0836299423,80350854.3100138
IN_D02,2019-10-01,mae,125209.71904733052,130679.85818750001,142292.9418877575,80944923.79733935
IN_D04,2019-10-01,mae,152656.53713988714,177667.63665625,210143.83464447083,80664695.10180342
IN_D05,2019-10-01,mae,174825.86509392387,114346.4849609375,46583.141153692515,80862309.68581048
IN_D06,2019-10-01,mae,130119.77901904733,105038.09815625001,102130.73022345203,80970137.43855375
IN_D07,2019-10-01,mae,589409.8624510864,691572.948125,688614.7412079936,80756618.9653763
IN_D08,2019-10-01,mae,1132444.0371319186,727578.5390625,497597.51972183073,80622848.77218674
IN_D10,2019-10-01,mae,366462.6392512155,349081.05100000004,241706.9046507378,81155029.1366521
IN_D11,2019-10-01,mae,470404.54015134124,463675.05040624994,393434.12133182713,80993044.78933641
IN_G01,2019-10-01,mae,291243.2681256599,265859.5325,313206.41887774225,80695717.37388062
IN_G02,2019-10-01,mae,993595.2801200611,1048628.1578125,1061326.907317912,82339421.8176842
IN_G03,2019-10-01,mae,763169.7761510944,680839.922375,489513.40454629675,81575127.16435146
IN_G04,2019-10-01,mae,383078.29837878625,376514.667125,339313.844441048,80963419.62448704
IN_H01,2019-10-01,mae,10221.809299749013,78387.5773515625,4497.890961846908,80855767.67935804
IN_H02,2019-10-01,mae,661940.728483014,455212.3766875,503178.46375746717,80344207.04183993
IN_H03,2019-10-01,mae,487314.37785038486,463302.24375,441094.71642863494,81395844.02674037
IN_H04,2019-10-01,mae,3032.333677161997,171075.50903320312,21862.607060755246,80844028.20687589
IN_H05,2019-10-01,mae,317189.6431515739,209955.26001953124,8247.212181178671,80845677.93597902
IN_J01,2019-10-01,mae,4456595.378263421,4474486.702,3414938.998766165,76772087.12357979
IN_J02,2019-10-01,mae,205913.10579840964,226123.146078125,159471.23296885178,80956711.04164346
IN_J04,2019-10-01,mae,91033.53089374682,163180.99006445313,5555.385024341966,80848197.45503831
IN_J05,2019-10-01,mae,586309.6274941326,496766.08749999997,459910.7342351771,80854592.12835453
IN_J06,2019-10-01,mae,129518.90990274835,190785.63356103515,72017.23233047928,80844370.03141889
IN_L01,2019-10-01,mae,135372.48100810996,157049.08209374998,63773.45541747038,80974930.36489402
IN_L02,2019-10-01,mae,189894.1313505552,179116.77775,285636.3133608128,80748151.82019491
IN_L03,2019-10-01,mae,4265.314552161997,176466.33967578126,19672.813435755248,80843194.77732238
IN_L04,2019-10-01,mae,228837.3184428413,237181.4526875,129862.60793368373,81037153.4286452
IN_M01,2019-10-01,mae,411389.64234907494,353745.9109999999,813092.8125516926,80823346.88227035
IN_M02,2019-10-01,mae,707694.7812238517,721275.678125,1050752.0829216796,80057547.2872289
IN_M03,2019-10-01,mae,437874.24399456277,175151.46487500018,498806.4177363402,81531178.95730644
IN_M04,2019-10-01,mae,135467.9480251124,147374.65490625,131527.867503342,80906513.96076964
