index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
814,MI_G01,2025-07-01,10097.0,11959.0,36179.6875,13244.25,11832.39266181517
815,MI_G01,2025-10-01,10097.0,10097.0,36179.6875,13244.25,11832.39266181517
816,MI_G02,2025-01-01,18445.0,77345.0,53671.75,37346.5,24184.858746036145
817,MI_G02,2025-04-01,18445.0,17545.0,53671.75,37346.5,70146.97464327564
818,MI_G02,2025-07-01,18445.0,36051.0,53671.75,37346.5,67413.45793382911
819,MI_G02,2025-10-01,18445.0,18445.0,53671.75,37346.5,77424.55926185776
820,MI_G03,2025-01-01,100444.0,107321.0,109146.75,103689.0,100732.5065854227
821,MI_G03,2025-04-01,100444.0,110370.0,109146.75,103689.0,102458.23886436672
822,MI_G03,2025-07-01,100444.0,96621.0,109146.75,103689.0,103786.52029779216
823,MI_G03,2025-10-01,100444.0,100444.0,109146.75,103689.0,104808.88720134358
824,MI_G04,2025-01-01,56510.0,61128.0,58068.53125,58535.0,56405.7170945556
825,MI_G04,2025-04-01,56510.0,58843.0,58068.53125,58535.0,56405.7170945556
826,MI_G04,2025-07-01,56510.0,57659.0,58068.53125,58535.0,56405.7170945556
827,MI_G04,2025-10-01,56510.0,56510.0,58068.53125,58535.0,56405.7170945556
828,MI_H01,2025-01-01,5062.0,5277.0,5446.625,5227.0,5193.21102113703
829,MI_H01,2025-04-01,5062.0,5402.0,5446.625,5227.0,5291.785527016195
830,MI_H01,2025-07-01,5062.0,5167.0,5446.625,5227.0,5349.442613354934
831,MI_H01,2025-10-01,5062.0,5062.0,5446.625,5227.0,5383.1667449184015
832,MI_H02,2025-01-01,58599.0,108339.0,50076.34375,82411.25,55781.08906380013
833,MI_H02,2025-04-01,58599.0,94154.0,50076.34375,82411.25,52135.60306689846
834,MI_H02,2025-07-01,58599.0,68553.0,50076.34375,82411.25,50263.506504259385
835,MI_H02,2025-10-01,58599.0,58599.0,50076.34375,82411.25,49302.113279097146
836,MI_H03,2025-01-01,80879.0,93303.0,112118.28125,86974.75,75302.00388325015
837,MI_H03,2025-04-01,80879.0,89374.0,112118.28125,86974.75,70742.51860020778
838,MI_H03,2025-07-01,80879.0,84343.0,112118.28125,86974.75,66183.03331716542
839,MI_H03,2025-10-01,80879.0,80879.0,112118.28125,86974.75,61623.54803412306
840,MI_H04,2025-01-01,2477.0,2726.0,2239.53125,2617.25,2691.1022117428192
841,MI_H04,2025-04-01,2477.0,2453.0,2239.53125,2617.25,2419.7393611192374
842,MI_H04,2025-07-01,2477.0,2813.0,2239.53125,2617.25,2689.88716434776
843,MI_H04,2025-10-01,2477.0,2477.0,2239.53125,2617.25,2420.948968048998
844,MI_H05,2025-01-01,398.0,432.0,802.125,412.0,525.1174996651373
845,MI_H05,2025-04-01,398.0,407.0,802.125,412.0,572.621642395233
846,MI_H05,2025-07-01,398.0,411.0,802.125,412.0,607.4702414282312
847,MI_H05,2025-10-01,398.0,398.0,802.125,412.0,633.0348508447759
848,MI_J01,2025-01-01,453696.0,532651.0,423773.09375,455938.5,472220.03226891666
849,MI_J01,2025-04-01,453696.0,445328.0,423773.09375,455938.5,435470.27008267894
850,MI_J01,2025-07-01,453696.0,392079.0,423773.09375,455938.5,416397.60718234256
851,MI_J01,2025-10-01,453696.0,453696.0,423773.09375,455938.5,439085.55583696195
852,MI_J02,2025-01-01,16004.0,17473.0,23303.5,19028.25,20117.55493762811
853,MI_J02,2025-04-01,16004.0,16267.0,23303.5,19028.25,21419.42584446131
854,MI_J02,2025-07-01,16004.0,26369.0,23303.5,19028.25,22267.2210383428
855,MI_J02,2025-10-01,16004.0,16004.0,23303.5,19028.25,22819.316247626582
856,MI_J04,2025-01-01,872.0,1125.0,774.59375,938.75,896.7949941829945
857,MI_J04,2025-04-01,872.0,899.0,774.59375,938.75,896.7949941829945
858,MI_J04,2025-07-01,872.0,859.0,774.59375,938.75,896.7949941829945
859,MI_J04,2025-10-01,872.0,872.0,774.59375,938.75,896.7949941829945
860,MI_J05,2025-01-01,36452.0,63633.0,47337.90625,43223.0,53389.088520971374
861,MI_J05,2025-04-01,36452.0,38898.0,47337.90625,43223.0,43675.604475971246
862,MI_J05,2025-07-01,36452.0,33909.0,47337.90625,43223.0,41720.26874106554
863,MI_J05,2025-10-01,36452.0,36452.0,47337.90625,43223.0,42719.7568181201
864,MI_J06,2025-01-01,1100.0,1520.0,1814.53125,1362.75,3053.310931161712
865,MI_J06,2025-04-01,1100.0,1411.0,1814.53125,1362.75,1569.2661123004875
866,MI_J06,2025-07-01,1100.0,1420.0,1814.53125,1362.75,1368.2947707343722
867,MI_J06,2025-10-01,1100.0,1100.0,1814.53125,1362.75,2446.656025944236
868,MI_J07,2025-01-01,6391.0,47.0,517.125,1744.75,518.9643652942985
869,MI_J07,2025-04-01,6391.0,258.0,517.125,1744.75,518.9643652942985
870,MI_J07,2025-07-01,6391.0,283.0,517.125,1744.75,518.9643652942985
871,MI_J07,2025-10-01,6391.0,6391.0,517.125,1744.75,518.9643652942985
872,MI_L01,2025-01-01,20557.0,21794.0,18157.6875,22183.25,21892.826739338347
873,MI_L01,2025-04-01,20557.0,22811.0,18157.6875,22183.25,21256.850654838207
874,MI_L01,2025-07-01,20557.0,23571.0,18157.6875,22183.25,21549.05544317753
875,MI_L01,2025-10-01,20557.0,20557.0,18157.6875,22183.25,21414.799391087872
876,MI_L02,2025-01-01,9971.0,19183.0,26536.59375,13772.75,12296.758117435635
877,MI_L02,2025-04-01,9971.0,12339.0,26536.59375,13772.75,12296.758117435635
878,MI_L02,2025-07-01,9971.0,13598.0,26536.59375,13772.75,12296.758117435635
879,MI_L02,2025-10-01,9971.0,9971.0,26536.59375,13772.75,12296.758117435635
880,MI_L03,2025-01-01,1146.0,1529.0,2177.53125,1417.75,1163.992051432731
881,MI_L03,2025-04-01,1146.0,1574.0,2177.53125,1417.75,1108.5630420464822
882,MI_L03,2025-07-01,1146.0,1422.0,2177.53125,1417.75,1053.134032660233
883,MI_L03,2025-10-01,1146.0,1146.0,2177.53125,1417.75,997.7050232739844
884,MI_L04,2025-01-01,31709.0,34199.0,28547.03125,33626.0,32010.844883156104
885,MI_L04,2025-04-01,31709.0,34794.0,28547.03125,33626.0,32010.844883156104
886,MI_L04,2025-07-01,31709.0,33802.0,28547.03125,33626.0,32010.844883156104
887,MI_L04,2025-10-01,31709.0,31709.0,28547.03125,33626.0,32010.844883156104
888,MI_M01,2025-01-01,153194.0,143972.0,121738.625,146510.25,88412.756269119
889,MI_M01,2025-04-01,153194.0,127678.0,121738.625,146510.25,114897.47819652948
890,MI_M01,2025-07-01,153194.0,161197.0,121738.625,146510.25,95570.6204442595
891,MI_M01,2025-10-01,153194.0,153194.0,121738.625,146510.25,108816.0681994193
892,MI_M02,2025-01-01,5119.0,3154.0,69985.46875,8834.75,37528.8377987196
893,MI_M02,2025-04-01,5119.0,13811.0,69985.46875,8834.75,52503.1944273861
894,MI_M02,2025-07-01,5119.0,13255.0,69985.46875,8834.75,61146.47569493244
895,MI_M02,2025-10-01,5119.0,5119.0,69985.46875,8834.75,66135.42533213433
896,MI_M03,2025-01-01,137663.0,151228.0,148944.125,144625.25,138807.90474826237
897,MI_M03,2025-04-01,137663.0,146860.0,148944.125,144625.25,139922.63077476725
898,MI_M03,2025-07-01,137663.0,142750.0,148944.125,144625.25,140851.13424414454
899,MI_M03,2025-10-01,137663.0,137663.0,148944.125,144625.25,141624.52489991736
900,MI_M04,2025-01-01,16056.0,17328.0,17402.71875,16681.75,15690.890709019908
901,MI_M04,2025-04-01,16056.0,17002.0,17402.71875,16681.75,15550.603361990301
902,MI_M04,2025-07-01,16056.0,16341.0,17402.71875,16681.75,15564.009607958847
903,MI_M04,2025-10-01,16056.0,16056.0,17402.71875,16681.75,15715.467888516654
904,MI_M05,2025-01-01,5696.0,6447.0,6871.625,6149.75,5762.936156468101
905,MI_M05,2025-04-01,5696.0,6448.0,6871.625,6149.75,5821.376311997669
906,MI_M05,2025-07-01,5696.0,6008.0,6871.625,6149.75,5875.30383315978
907,MI_M05,2025-10-01,5696.0,5696.0,6871.625,6149.75,5925.06717674326
908,MI_M09,2025-01-01,242.0,268.0,129.10344827586206,265.0,271.31457973128624
909,MI_M09,2025-04-01,242.0,253.0,129.10344827586206,265.0,259.96711967892327
910,MI_M09,2025-07-01,242.0,297.0,129.10344827586206,265.0,276.6651453271756
911,MI_M09,2025-10-01,242.0,242.0,129.10344827586206,265.0,304.55698615341674
912,MI_N01,2025-01-01,4555.0,3475.0,6246.65625,5322.0,4165.299666439039
913,MI_N01,2025-04-01,4555.0,6305.0,6246.65625,5322.0,4702.819938665392
914,MI_N01,2025-07-01,4555.0,6953.0,6246.65625,5322.0,5117.655527419757
915,MI_N01,2025-10-01,4555.0,4555.0,6246.65625,5322.0,5437.80822600433
916,MI_N02,2025-01-01,501919.0,527004.0,491679.0625,516377.75,498227.2422407126
917,MI_N02,2025-04-01,501919.0,514366.0,491679.0625,516377.75,496742.1191530073
918,MI_N02,2025-07-01,501919.0,522222.0,491679.0625,516377.75,495669.75284396915
919,MI_N02,2025-10-01,501919.0,501919.0,491679.0625,516377.75,494895.42678959685
920,MI_N03,2025-01-01,172555.0,197135.0,207803.15625,190489.25,168984.52959959488
921,MI_N03,2025-04-01,172555.0,193229.0,207803.15625,190489.25,170537.18978572998
922,MI_N03,2025-07-01,172555.0,199038.0,207803.15625,190489.25,171987.37786706985
923,MI_N03,2025-10-01,172555.0,172555.0,207803.15625,190489.25,173341.85677368447
924,MI_N04,2025-01-01,21834.0,25184.0,28875.8125,24106.75,19551.23953227006
925,MI_N04,2025-04-01,21834.0,24540.0,28875.8125,24106.75,18205.38061968214
926,MI_N04,2025-07-01,21834.0,24869.0,28875.8125,24106.75,16274.852411527323
927,MI_N04,2025-10-01,21834.0,21834.0,28875.8125,24106.75,15662.848354223095
928,MI_N05,2025-01-01,465679.0,522427.0,495467.0,506890.5,458801.9650277149
929,MI_N05,2025-04-01,465679.0,512130.0,495467.0,506890.5,458801.9650277149
930,MI_N05,2025-07-01,465679.0,527326.0,495467.0,506890.5,458801.9650277149
931,MI_N05,2025-10-01,465679.0,465679.0,495467.0,506890.5,458801.9650277149
932,MI_N06,2025-01-01,664354.0,773251.0,772876.5625,734494.0,637008.4756815342
933,MI_N06,2025-04-01,664354.0,750675.0,772876.5625,734494.0,646553.2384972464
934,MI_N06,2025-07-01,664354.0,749696.0,772876.5625,734494.0,655154.6551851219
935,MI_N06,2025-10-01,664354.0,664354.0,772876.5625,734494.0,662905.96032145
936,MI_N07,2025-01-01,41958.0,50657.0,54419.40625,57748.0,54419.40624903882
937,MI_N07,2025-04-01,41958.0,90106.0,54419.40625,57748.0,54419.40624903882
938,MI_N07,2025-07-01,41958.0,48271.0,54419.40625,57748.0,54419.40624903882
939,MI_N07,2025-10-01,41958.0,41958.0,54419.40625,57748.0,54419.40624903882
940,MI_P01,2025-01-01,7162.0,7620.0,13919.9375,7334.5,11560.776932705332
941,MI_P01,2025-04-01,7162.0,7335.0,13919.9375,7334.5,12720.325197500104
942,MI_P01,2025-07-01,7162.0,7221.0,13919.9375,7334.5,13138.7948276649
943,MI_P01,2025-10-01,7162.0,7162.0,13919.9375,7334.5,13289.81642520164
944,MI_P02,2025-01-01,124.0,475.0,159.19354838709677,272.75,157.68876938047737
945,MI_P02,2025-04-01,124.0,96.0,159.19354838709677,272.75,157.68876938047737
946,MI_P02,2025-07-01,124.0,396.0,159.19354838709677,272.75,157.68876938047737
947,MI_P02,2025-10-01,124.0,124.0,159.19354838709677,272.75,157.68876938047737
