unique_id,ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,best_model
IN_H03,2025-07-01,2533399.0,1966239.3682303904,3100558.6317696096,HoltWinters
IN_H03,2025-07-01,2533399.0,1966239.3682303904,3100558.6317696096,ARIMA
IN_H03,2025-07-01,2533399.0,1966239.3682303904,3100558.6317696096,ARIMA
IN_H03,2025-07-01,2533399.0,1966239.3682303904,3100558.6317696096,HoltWinters
IN_H03,2025-07-01,2533399.0,1966239.3682303904,3100558.6317696096,Naive
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,HoltWinters
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,ARIMA
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,ARIMA
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,HoltWinters
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,Naive
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,HoltWinters
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,ARIMA
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,ARIMA
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,HoltWinters
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,Naive
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,HoltWinters
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,ARIMA
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,ARIMA
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,HoltWinters
IN_H03,2025-10-01,920787.0,-576923.3468193626,2418497.3468193626,Naive
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,HoltWinters
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,ARIMA
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,ARIMA
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,HoltWinters
IN_H03,2025-10-01,2533344.682701585,1985034.2872731443,3081655.0781300254,Naive
IN_H03,2025-10-01,2533399.0,1878499.467848654,3188298.532151346,HoltWinters
IN_H03,2025-10-01,2533399.0,1878499.467848654,3188298.532151346,ARIMA
IN_H03,2025-10-01,2533399.0,1878499.467848654,3188298.532151346,ARIMA
IN_H03,2025-10-01,2533399.0,1878499.467848654,3188298.532151346,HoltWinters
IN_H03,2025-10-01,2533399.0,1878499.467848654,3188298.532151346,Naive
IN_H04,2025-01-01,1677.1,1145.3009801820976,2208.899019817902,Naive
IN_H04,2025-01-01,1677.1,1145.3009801820976,2208.899019817902,HoltWinters
IN_H04,2025-01-01,1677.1,1145.3009801820976,2208.899019817902,HoltWinters
IN_H04,2025-01-01,1677.1,1145.3009801820976,2208.899019817902,ARIMA
IN_H04,2025-01-01,1677.1,1145.3009801820976,2208.899019817902,SeasonalNaive
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,Naive
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,HoltWinters
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,HoltWinters
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,ARIMA
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,SeasonalNaive
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,Naive
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,HoltWinters
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,HoltWinters
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,ARIMA
IN_H04,2025-01-01,1934.9469274287014,1702.4499035499964,2167.443951307406,SeasonalNaive
IN_H04,2025-01-01,2005.515096889365,1729.1533258700024,2281.8768679087275,Naive
IN_H04,2025-01-01,2005.515096889365,1729.1533258700024,2281.8768679087275,HoltWinters
IN_H04,2025-01-01,2005.515096889365,1729.1533258700024,2281.8768679087275,HoltWinters
IN_H04,2025-01-01,2005.515096889365,1729.1533258700024,2281.8768679087275,ARIMA
IN_H04,2025-01-01,2005.515096889365,1729.1533258700024,2281.8768679087275,SeasonalNaive
IN_H04,2025-01-01,2074.8,1763.0194106889592,2386.5805893110414,Naive
IN_H04,2025-01-01,2074.8,1763.0194106889592,2386.5805893110414,HoltWinters
IN_H04,2025-01-01,2074.8,1763.0194106889592,2386.5805893110414,HoltWinters
IN_H04,2025-01-01,2074.8,1763.0194106889592,2386.5805893110414,ARIMA
IN_H04,2025-01-01,2074.8,1763.0194106889592,2386.5805893110414,SeasonalNaive
IN_H04,2025-04-01,1677.1,925.022613716804,2429.177386283196,Naive
IN_H04,2025-04-01,1677.1,925.022613716804,2429.177386283196,HoltWinters
IN_H04,2025-04-01,1677.1,925.022613716804,2429.177386283196,HoltWinters
IN_H04,2025-04-01,1677.1,925.022613716804,2429.177386283196,ARIMA
IN_H04,2025-04-01,1677.1,925.022613716804,2429.177386283196,SeasonalNaive
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,Naive
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,HoltWinters
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,HoltWinters
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,ARIMA
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,SeasonalNaive
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,Naive
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,HoltWinters
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,HoltWinters
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,ARIMA
IN_H04,2025-04-01,1881.8144236698995,1612.1934813130401,2151.435366026759,SeasonalNaive
IN_H04,2025-04-01,1881.2005817318259,1574.1245314307428,2188.276632032909,Naive
IN_H04,2025-04-01,1881.2005817318259,1574.1245314307428,2188.276632032909,HoltWinters
