unique_id,ds,y,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_C09,2024-10-01,88836,112950.0,107652.44,123551.5,112950.0,112950.0,112950.0,118990.125,113013.35
IN_C10,2024-01-01,127248,126760.0,114966.75,136037.75,140452.0,126760.0,126760.0,129765.42,126829.94
IN_C10,2024-04-01,123111,126760.0,114966.75,136037.75,143281.0,126760.0,126760.0,135446.38,126829.94
IN_C10,2024-07-01,122019,126760.0,114966.75,136037.75,133658.0,126760.0,126760.0,134427.86,126829.94
IN_C10,2024-10-01,107811,126760.0,114966.75,136037.75,126760.0,126760.0,126760.0,134316.1,126829.94
IN_D01,2024-01-01,34323,27426.0,22569.156,22954.0,20048.0,23490.781,23490.781,17503.062,23268.03
IN_D01,2024-04-01,27989,27426.0,22569.156,22954.0,17320.0,22563.762,22563.762,21197.803,23268.03
IN_D01,2024-07-01,29558,27426.0,22569.156,22954.0,27022.0,22563.762,22563.762,29006.576,23268.03
IN_D01,2024-10-01,21102,27426.0,22569.156,22954.0,27426.0,22563.762,22563.762,23875.857,23268.03
IN_D02,2024-01-01,3614,2883.0,3227.3438,4368.0,4713.0,2917.1033,2917.1033,3628.5835,3694.9128
IN_D02,2024-04-01,2683,2883.0,3227.3438,4368.0,5473.0,3223.0403,3223.0403,3955.7524,4088.0022
IN_D02,2024-07-01,4631,2883.0,3227.3438,4368.0,4403.0,3223.0403,3223.0403,3762.956,3996.5613
IN_D02,2024-10-01,2313,2883.0,3227.3438,4368.0,2883.0,3223.0403,3223.0403,2814.1738,2946.8687
IN_D03,2024-01-01,25,13.0,254.48,71.25,16.0,220.34207,220.34207,65.573044,47.12405
IN_D03,2024-04-01,14,13.0,254.48,71.25,236.0,246.69753,246.69753,83.8509,47.12405
IN_D03,2024-07-01,21,13.0,254.48,71.25,20.0,246.69753,246.69753,44.693832,47.12405
IN_D03,2024-10-01,34,13.0,254.48,71.25,13.0,246.69753,246.69753,6.5133767,47.12405
IN_D04,2024-01-01,21336,9752.0,14676.469,12159.25,13467.0,9752.0,9752.0,10858.717,11318.023
IN_D04,2024-04-01,17774,9752.0,14676.469,12159.25,15524.0,9752.0,9752.0,10938.7,11237.722
IN_D04,2024-07-01,15818,9752.0,14676.469,12159.25,9894.0,9752.0,9752.0,12089.691,11159.269
IN_D04,2024-10-01,14769,9752.0,14676.469,12159.25,9752.0,9752.0,9752.0,11648.904,11082.599
IN_D05,2024-01-01,4908,3407.0,2196.5938,4475.75,4789.0,3407.0,3407.0,3346.5134,3468.7346
IN_D05,2024-04-01,4465,3407.0,2196.5938,4475.75,5130.0,3407.0,3407.0,3473.6025,3468.7346
IN_D05,2024-07-01,6835,3407.0,2196.5938,4475.75,4577.0,3407.0,3407.0,3209.3528,3468.7346
IN_D05,2024-10-01,3276,3407.0,2196.5938,4475.75,3407.0,3407.0,3407.0,3716.1943,3468.7346
