NDC,ATC4 Class
00049011428,J02AX
45802027603,S02BA
00641041037,C05BA
43598051090,A02BC
42571038519,R01AD
00527169501,N02BE
00406831562,N02AA
62175013632,A02BC
50222030266,S01BA
60505263308,S01GX
00832030301,N05AA
64950035405,N02AA
51660012312,A07DA
00143937501,R03CC
68180047902,C10AA
00168025815,D07XC
29300022652,A01AB
24385090426,S01FB
71288041182,B01AB
68180075601,C09AA
00009008610,G03BA
64980032920,D07AC
36800018926,R06AE
24338008014,S02AA
00409490434,R02AD
00378027701,N06CA
45802000402,S02BA
70954013510,J04BA
42799092001,C07BB
00069265066,C08CA
00781552931,N06AX
42023015901,S01EA
00409174630,S01EA
16714087801,S01HA
59088081624,C05AD
17478021505,S01FA
65862007360,J05AF
16571040210,S01GX
24689079210,G04CA
00245531789,A12BA
69097015815,M01AC
68094050359,R02AX
16714044001,G03AC
00065064705,S01BA
70000004201,R01BA
00093738505,N06AX
55150023805,S01BA
51079005101,A02BC
66993093761,S02BA
00185536809,C03DA
68462019605,C10AA
43598058030,N02AE
57664069288,N06AA
00781207401,C03EA
00781565401,N04BX
00781520610,C03AA
69367020305,N06BC
63323012710,L01AX
59762502501,N02BF
24338008014,D07AC
31722077805,S01AD
68462035705,A12BA
25021018199,J01CG
70860012399,J01CA
53489014410,C03DA
49230053001,B03AC
00713075937,S01CB
00113041926,R01BA
00009004401,H02AB
50458058001,B01AF
00378163193,R03CC
51672404501,C09BA
63739052010,A07EA
00409653321,S01AA
00904640360,B03AA
65162091853,S01HA
42806051010,N02BF
64980032430,D07AA
51672206902,S02BA
76478050150,N05CA
44523056008,D10AB
00338017904,A12CC
55111068401,R02AX
69238155106,G03AA
68084044901,D11AH
59762054001,A10BB
62332001131,N06AX
25021040201,C05BA
00536124207,R01BA
67253065110,H03BA
00641611801,J01CA
00093330416,G03AA
45802039001,D11AH
00054418625,A01AC
70748022001,L04AD
50881000560,L01EJ
13107011630,B05XA
39328002455,D04AB
66220028422,M01AE
54838052340,N06AB
51672402801,B01AA
16714069801,J05AB
50268053911,D06BX
62011028501,R06AE
00713062231,J01GB
76282021418,N06AB
00781235201,N06BA
50419040303,G03AC
42023012989,N05AB
00409471375,C01BB
65862001705,J01CA
11980022805,D10AA
61269016250,A11CA
00904615760,A11CC
00115148601,N06BA
52817081701,H02AB
51672129201,S01BA
00472033956,S01CB
00046110091,G03CA
60687012911,A06AA
00002820705,A10AD
00485020816,S01GA
68462041929,B03AA
68462063925,C01DA
00168004015,S01CB
54643900701,S01XA
55111020505,N05AX
63824027864,R01AA
52544069419,C05AE
00591569401,J01AA
00781607861,J01DD
27241016101,C09AA
17478041510,S01FB
46122024778,N02BE
00087040203,C10AD
58657052816,D04AA
00023586230,G03AC
42543049701,N04BB
65162076110,B01AA
24208029510,S01CB
00574110416,R06AB
00143959501,S02DA
63323008615,B05BB
45802014301,S03AA
69097068105,N02BF
68001023900,N02CX
44567010310,S01AA
59088081907,D04AB
43598056601,N06AB
00591321901,A01AD
60687040701,R05DA
62332004671,C09CA
70436016006,G04BD
63868071557,G04BX
16714003502,N03AX
68135067345,A16AB
16729045417,H03AA
68462043830,C09CA
00338043103,C05BA
00054455025,L01BA
00555105786,D10AD
42385093690,C10AB
24385006103,D06AX
00781329804,B01AB
46122001062,G02CC
73070020315,A10AD
00409488301,J01XX
69543025204,R05FA
16714015001,D07XB
65862005299,C10AA
68001039603,A12BA
42543049305,N04BB
00113070334,R01AA
51672138105,J01FF
24208053230,A11HA
00225038080,R01AX
47335075983,N06AX
00093330416,G03AC
43598049501,G02CC
00591555410,C07AA
00641600601,A03BA
69238183601,H03AA
29300011416,N03AX
70860021805,L01AA
00409317802,S01HA
24208083060,S01CB
62011032201,S01GX
51144000212,L01EH
00169183702,A10AF
68001048345,S03AA
52817023510,N05CH
68180095101,A01AC
42023015925,S01EA
45802059806,N02CC
00409427601,C01BB
00536124801,A06AB
72974041501,H01CC
00074714819,H03AA
00378037301,P01BA
16571067250,N03AA
62107002636,A01AD
49348004534,R05FA
65862001701,J01FA
00713022880,S01BA
00085720601,R03AK
47781091401,S02BA
00597004437,C09DA
13668048405,A01AB
70954005820,A07EA
16729044717,H03AA
00113090626,R06AB
69238113803,J05AE
00052436401,N06AX
59088099707,S02DA
66220028708,G02CC
00527411837,C07AA
53746010905,R05DA
64980030650,A01AA
63323030036,J01CA
67877047380,C01BB
00054429731,C03CA
00023320503,S01EE
00002323560,N06AX
46287001430,A09AB
00310009590,D05AX
45802095243,R02AX
64764024060,A06AX
33342015001,M05BA
62175027137,G04BD
39822120105,B05CA
00378064205,H02AB
69097081615,N03AX
00143998175,J01CA
00187519025,D10AF
00338358048,J01XA
67877045912,L01BC
72578008801,A07AA
16714095501,G01AF
64253020230,B05CB
00143989001,A04AA
78206012701,R03BA
61703035010,L01BA
00093823256,C09DA
00904578051,A02BA
68645059354,C09AA
33342002108,J01MA
68462031417,R03BA
68462046806,N02CC
00641095521,R06AD
70000033101,D01AE
16714004610,B01AB
70677001401,S01GX
65862069505,J01XD
00026382650,B02BD
17478020605,S01GA
00591247401,S01AA
00121090315,C05AD
63801010701,D01AE
00074327813,B05XA
16571069603,J01FA
43598039030,G04CB
55111047901,N05CF
53746019405,G02CC
00338113006,V03AB
00338005603,A12CA
00409318301,B02BC
47335004940,L01DB
00713022531,D07AB
60432012608,G03DB
00944270013,B06AA
00069147601,J06BA
50111064844,N06AB
16571066401,G01AF
68462039429,L02AA
52817016160,N05AH
00054040013,N06AX
16714047701,J01CA
16571020210,D11AX
00378141101,C08DA
59088077120,A01AC
62756018518,N03AF
00536114941,N02BA
62559013807,D07XA
00781340995,J01CA
68682010430,A02BC
00485020416,C01CA
00023218105,S01BC
00054048113,L01EG
00591024201,N05BA
42571023630,C09CA
70677006501,A02AC
42571035807,B05XA
00409904501,B02BC
45802021001,C01DA
63323045800,N02AA
16729032015,C09CA
00052027303,G02BB
45802006335,C05AA
00085222301,R01AD
42858030301,N02AA
16714086201,J05AE
00074518219,H03AA
13668015530,A02BC
00641602801,N02AB
54766089503,A03AE
00904598463,D02AX
59617001502,V01AA
64980019601,C03AA
67857080619,S01BA
62332001631,P01AB
00378727453,G03DC
00121174400,R05CA
00168005646,D07XC
63323010801,V04CC
51672200202,G01AF
60687034511,A11CC
68084009711,C10AA
51293084505,M01AE
68001049404,A02BA
00168008016,S01CB
65162046610,M02AA
00472034356,H02AB
52565009015,S03AA
75834014724,C05AA
68180086611,B03AE
00781540292,C10AA
00591212712,S01EC
68001018705,C09AA
49348052178,A01AC
00574061105,D06BB
24385000605,S01XA
12496120401,N07BC
00713066960,S01CB
24385001758,A07BB
52565005680,D07XB
16714012201,S01EB
60505264807,M03BX
59746001504,H02AB
51672134003,D07AC
52268010001,B05XA
00904541501,G01AF
11980022810,S01BA
60258017201,A12CC
60505040405,N05AX
68382079101,D06BB
00574029201,C03DB
59385002160,N02AE
61269017934,S01AA
62135022501,J01AA
63323056887,B01AB
00173071722,D07AC
62037083110,C07AB
00338007704,B05BB
00574210745,D11AX
49348018229,R03BA
50102023021,L02AA
