cutoff,unique_id,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta,metric
2019-10-01,IN_N02,3.0076544e+09,5.510212e+08,4.0617196e+09,4.1402844e+09,3.5828096e+09,3.5828096e+09,1.1304989e+10,3.4844595e+09,MSE
2019-10-01,IN_N03,1.0232121e+08,4.445076e+08,2.5293499e+08,2.5698362e+08,5.4530136e+07,5.4530136e+07,1.1480529e+08,1.1860571e+08,MSE
2019-10-01,IN_N04,2.3375902e+06,1.4655714e+07,3.336486e+06,3.1997915e+06,2.3375902e+06,2.3375902e+06,1.0414526e+06,715117.1,MSE
2019-10-01,IN_N05,2.433236e+09,4.3860367e+09,3.0108503e+09,2.8626463e+09,2.793598e+09,2.793598e+09,2.169544e+09,2.4369162e+09,MSE
2019-10-01,IN_N06,2.1999726e+09,6.4477005e+09,2.8537697e+09,2.6852746e+09,7.136915e+08,7.136915e+08,1.2500172e+09,1.3535875e+09,MSE
2019-10-01,IN_N07,1.00881434e+09,1.513414e+09,9.886082e+08,6.932472e+08,5.586146e+08,5.586146e+08,4.8735686e+08,7.515675e+08,MSE
2019-10-01,IN_P01,1.1245793e+08,8.609754e+07,6.776638e+07,9.619302e+07,8.609754e+07,9.130202e+07,7.143383e+07,7.92347e+07,MSE
2019-10-01,IN_P02,17014.25,27326.348,15089.6875,27529.5,27326.348,27326.348,412776.16,15504.822,MSE
2019-10-01,IN_P03,1.6984275e+06,4.889357e+06,1.5111545e+06,1.5927968e+06,1.6984275e+06,1.04293575e+06,419035.88,933269.2,MSE
2019-10-01,IN_R01,1.5874682e+09,1.0052073e+09,1.1580508e+09,1.03232294e+09,1.5874682e+09,1.5874682e+09,2.3666883e+09,1.5823922e+09,MSE
2019-10-01,IN_R02,3.59618e+07,6.568089e+07,3.813364e+07,2.2577484e+07,3.59618e+07,3.59618e+07,1.3209499e+08,3.5345596e+07,MSE
2019-10-01,IN_R03,1.507095e+08,1.8114252e+09,5.8718374e+08,6.510035e+08,5.519538e+08,5.519538e+08,2.3308722e+08,3.7237933e+08,MSE
2019-10-01,IN_R05,4.22361e+08,2.4627362e+08,4.905796e+08,5.456405e+08,4.22361e+08,4.22361e+08,1.837049e+09,5.4370925e+08,MSE
2019-10-01,IN_R06,5.4174052e+07,8.618789e+07,8.167589e+07,1.2378768e+08,8.618789e+07,8.618789e+07,3.3920384e+08,5.532888e+07,MSE
2019-10-01,IN_R07,7269.75,106251.59,25075.25,25230.75,5944.144,5944.144,7315.8438,3856.157,MSE
2019-10-01,IN_S01,9.9544216e+07,9.97606e+07,2.4480974e+08,3.1816765e+08,9.9544216e+07,9.9544216e+07,5.51211e+08,1.535558e+08,MSE
2019-10-01,IN_S02,2.2625034e+07,9.946363e+06,3.605288e+07,4.2652576e+07,1.141869e+07,1.141869e+07,7.256373e+07,2.6982206e+07,MSE
2019-10-01,IN_S03,1.463895e+07,8.742991e+06,3.0451656e+07,3.535004e+07,1.0002261e+07,1.0002261e+07,3.0828778e+07,1.4731268e+07,MSE
2019-10-01,IN_V03,1.2000037e+09,6.801686e+08,6.12564e+08,5.4233363e+08,6.801686e+08,6.801686e+08,6.065997e+08,6.116132e+08,MSE
2019-10-01,IN_V04,4.561959e+07,5.2632148e+07,4.5679776e+07,6.199497e+07,5.2632148e+07,5.2632148e+07,3.217684e+07,4.6199076e+07,MSE
2019-10-01,IN_V07,2669.5,14483.641,4299.25,14665.5,2669.5,2669.5,43774.28,2530.8826,MSE
2020-04-01,IN_D03,26831.25,20823.92,23205.25,27646.25,23542.48,23542.48,28430.006,22204.635,MSE
2020-07-01,IN_V06,103047.75,80384.2,103168.19,100505.0,99513.28,99513.28,134153.53,96740.23,MSE
2020-10-01,IN_A01,1.1593896e+08,2.3596358e+08,7.9026296e+07,1.1686492e+08,1.1593896e+08,1.1593896e+08,9.121043e+07,1.141465e+08,MSE
2020-10-01,IN_A02,5.977846e+08,1.1267355e+09,9.118889e+08,8.4031763e+08,1.1267355e+09,1.1267355e+09,9.448984e+08,8.76985e+08,MSE
2020-10-01,IN_A03,1.321185e+07,3.1003902e+07,2.7230724e+07,2.6811496e+07,2.770012e+07,2.770012e+07,5.0548576e+07,1.5814998e+07,MSE
2020-10-01,IN_A04,2.1878755e+08,1.62373e+08,2.6134582e+08,3.1656346e+08,2.615111e+08,2.615111e+08,4.3772067e+08,3.088294e+08,MSE
2020-10-01,IN_A05,539.75,7105.2466,3779.75,4658.25,7105.2466,7105.2466,1629.565,764.0701,MSE
2020-10-01,IN_A06,2.0604163e+09,5.162816e+09,2.9968015e+09,2.2244419e+09,1.9748673e+09,1.9748673e+09,2.3841027e+09,2.1058673e+09,MSE
2020-10-01,IN_A07,2.7906378e+08,4.4401626e+08,1.6990554e+08,3.2668627e+08,4.4401626e+08,6.4997274e+08,2.932231e+08,3.910729e+08,MSE
2020-10-01,IN_A09,44473.5,424976.5,57934.312,56982.75,9393.913,9393.913,3496.1567,11620.4,MSE
2020-10-01,IN_A10,4.3500134e+08,1.5368243e+09,6.4423456e+08,5.97225e+08,3.5795597e+08,3.5795597e+08,5.6083315e+08,4.3542048e+08,MSE
2020-10-01,IN_A11,4.9017565e+06,2.3896046e+07,8.9725e+06,9.370302e+06,5.707197e+06,5.707197e+06,442717.7,5.6559655e+06,MSE
