NDC,record_id,ATC4 Class
00093505998,AK_2024_4_FFSU_00093505998,C10AA
00002751659,AK_2024_4_FFSU_00002751659,A10AC
00168025846,AK_2024_4_FFSU_00168025846,G01AF
00338004902,AK_2024_4_FFSU_00338004902,B05XA
00173089310,AK_2024_4_FFSU_00173089310,R03BA
00009004722,AK_2024_4_FFSU_00009004722,H02AB
00409909422,AK_2024_4_FFSU_00409909422,N02AB
00143988750,AK_2024_4_FFSU_00143988750,J01CA
00338170840,AK_2024_4_FFSU_00338170840,A06AD
00046087221,AK_2024_4_FFSU_00046087221,G03CA
00093005401,AK_2024_4_FFSU_00093005401,N05BE
00078077720,AK_2024_4_FFSU_00078077720,C09CA
00456046101,AK_2024_4_FFSU_00456046101,H03AA
00069314019,AK_2024_4_FFSU_00069314019,J01FA
00264210100,AK_2024_4_FFSU_00264210100,V07AB
00168035730,AK_2024_4_FFSU_00168035730,S02DA
00054981729,AK_2024_4_FFSU_00054981729,A07EA
00054817625,AK_2024_4_FFSU_00054817625,S02BA
00121086816,AK_2024_4_FFSU_00121086816,A07AA
00078087601,AK_2024_4_FFSU_00078087601,S03BA
00168020360,AK_2024_4_FFSU_00168020360,J01FF
00406015401,AK_2024_4_FFSU_00406015401,N06BA
00002150680,AK_2024_4_FFSU_00002150680,A10BX
00186037020,AK_2024_4_FFSU_00186037020,R03AC
00054317644,AK_2024_4_FFSU_00054317644,D07AB
00310461612,AK_2024_4_FFSU_00310461612,R03AC
00054327099,AK_2024_4_FFSU_00054327099,D07AC
00023916360,AK_2024_4_FFSU_00023916360,S01XA
00093720298,AK_2024_4_FFSU_00093720298,C10BX
00338055318,AK_2024_4_FFSU_00338055318,B05CB
00054418325,AK_2024_4_FFSU_00054418325,D10AA
00074334603,AK_2024_4_FFSU_00074334603,L02AE
00054004641,AK_2024_4_FFSU_00054004641,R01AX
00245531615,AK_2024_4_FFSU_00245531615,B05XA
00168027740,AK_2024_4_FFSU_00168027740,J01FF
00002773701,AK_2024_4_FFSU_00002773701,A10AD
00093363020,AK_2024_4_FFSU_00093363020,J05AB
00406048401,AK_2024_4_FFSU_00406048401,N02BE
00169266015,AK_2024_4_FFSU_00169266015,A10AE
00338011703,AK_2024_4_FFSU_00338011703,G04BA
00003377211,AK_2024_4_FFSU_00003377211,L01FF
00009307301,AK_2024_4_FFSU_00009307301,H02AB
00002318280,AK_2024_4_FFSU_00002318280,A10BJ
00024592505,AK_2024_4_FFSU_00024592505,A10AD
00143980305,AK_2024_4_FFSU_00143980305,J01AA
00378750332,AK_2024_4_FFSU_00378750332,D07AC
00054018913,AK_2024_4_FFSU_00054018913,A06AH
00264780010,AK_2024_4_FFSU_00264780010,B05XA
00264180032,AK_2024_4_FFSU_00264180032,B05XA
00054417925,AK_2024_4_FFSU_00054417925,S02BA
00093117701,AK_2024_4_FFSU_00093117701,S02AA
