index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
82,IN_C04,2025-07-01,17071.0,4881.5196164940135,29260.480383505987,24025.96875,16960.63927492439,31091.29822507561,17924.0,11201.312874470761,24646.68712552924,17924.0,11201.312874470761,24646.68712552924,18919.41519381274,12681.849776046976,25156.980611578503,18919.41519381274,12681.849776046976,25156.980611578503,13948.746225078066,8364.847785080507,19532.644665075626,18717.54719064327,12660.4501953125,23853.32421875
83,IN_C04,2025-10-01,17071.0,2995.8004386023094,31146.19956139769,24025.96875,16960.63927492439,31091.29822507561,17071.0,10348.312874470761,23793.68712552924,17071.0,10348.312874470761,23793.68712552924,18919.41519381274,12422.15146777817,25416.67891984731,18919.41519381274,12422.15146777817,25416.67891984731,13565.570093867536,7924.124459164824,19207.015728570248,18717.54719064327,13370.05859375,24098.453125
84,IN_C05,2025-01-01,439956.05,62848.01808406104,817064.081915939,517885.5525555556,192199.75277291192,843571.3523381993,394809.023,-102427.47084640915,892045.5168464091,394809.023,-102427.47084640915,892045.5168464091,473533.28265556705,171332.78292335622,775733.7823877779,514305.7618628224,219834.25805724866,808777.2656683961,561783.9611944695,197427.35016476724,926140.5722241717,513797.29863998917,230844.484375,850788.75
85,IN_C05,2025-04-01,439956.05,-93355.24321534688,973267.3432153468,517885.5525555556,192199.75277291192,843571.3523381993,397964.5,-99271.99384640914,895200.9938464091,397964.5,-99271.99384640914,895200.9938464091,517885.552552632,176225.60141430085,859545.5036909631,537375.8759752735,205860.07839618868,868891.6735543584,514327.64554518997,149971.02590592392,878684.265184456,513797.2986399892,181050.359375,807235.3125
86,IN_C05,2025-07-01,439956.05,-213214.221220712,1093126.321220712,517885.5525555556,192199.75277291192,843571.3523381993,524381.977,27145.483153590816,1021618.4708464091,524381.977,27145.483153590816,1021618.4708464091,517885.552552632,176225.60141430085,859545.5036909631,520846.0109173495,189330.2133382646,852361.8084964344,471229.7054207288,106873.06742931926,835586.3434121383,513797.2986399893,96800.6640625,829838.5
87,IN_C05,2025-10-01,439956.05,-314260.0138318779,1194172.113831878,517885.5525555556,192199.75277291192,843571.3523381993,439956.05,-57280.44384640915,937192.5438464091,439956.05,-57280.44384640915,937192.5438464091,517885.552552632,176225.60141430085,859545.5036909631,532542.381472923,201026.58389405592,864058.17905179,488186.8847387361,123830.21500903938,852543.5544684328,513797.2986399893,203220.546875,825656.625
88,IN_C07,2025-01-01,6115650.052,5402202.447150421,6829097.656849579,6023967.659722221,3233118.1624129945,8814817.157031447,7304047.577,5899123.035377404,8708972.118622595,7304047.577,5899123.035377404,8708972.118622595,6115650.052,5402201.443414534,6829098.660585466,6115650.052,5402201.443414534,6829098.660585466,6352105.328136903,5635657.703032185,7068552.953241621,6265669.79695573,5869907.840347604,6737014.284605035
89,IN_C07,2025-04-01,6115650.052,5106682.773179125,7124617.330820875,6023967.659722221,3233118.1624129945,8814817.157031447,7161323.392,5756398.850377405,8566247.933622595,7161323.392,5756398.850377405,8566247.933622595,6115650.052,5106681.353682221,7124618.750317779,6115650.052,5106681.353682221,7124618.750317779,6642290.671498122,5659652.686701993,7624928.65629425,6387770.930519462,5704963.877969741,7027650.865790568
90,IN_C07,2025-07-01,6115650.052,4879922.551862205,7351377.552137795,6023967.659722221,3233118.1624129945,8814817.157031447,7061768.039,5656843.497377405,8466692.580622595,7061768.039,5656843.497377405,8466692.580622595,6115650.052,4879920.813340653,7351379.290659348,6115650.052,4879920.813340653,7351379.290659348,6557965.424672394,5365655.530270561,7750275.3190742275,6303958.345399255,5423682.42940033,7084842.68691836
91,IN_C07,2025-10-01,6115650.052,4688754.842300842,7542545.261699159,6023967.659722221,3233118.1624129945,8814817.157031447,6115650.052,4710725.510377405,7520574.593622595,6115650.052,4710725.510377405,7520574.593622595,6115650.052,4688752.83482907,7542547.269170931,6115650.052,4688752.83482907,7542547.269170931,6467395.25881275,5095757.891280603,7839032.626344897,6257825.83844602,5353182.813683339,7154403.878283681
