unique_id,ds,cutoff,y,LightGBM,XGBoost,RandomForest,Ridge,horizon
IN_A04,2021-10-01,2019-10-01,1251433.778,986852.4315346798,799074.6,976877.0319180165,-244337271.01110157,8
IN_A05,2020-01-01,2019-10-01,38838.8,61430.49514185977,94722.61,44611.31640947659,-4228154.696811795,1
IN_A05,2020-04-01,2019-10-01,43079.4,78016.88189894885,149225.95,44332.81357739702,-17937020.676404685,2
IN_A05,2020-07-01,2019-10-01,44820.213,78016.88189894885,185019.84,45187.78089047598,-38339886.36261976,3
IN_A05,2020-10-01,2019-10-01,47838.0,78016.88189894885,185019.84,45187.78089047598,-61924081.69519621,4
IN_A05,2021-01-01,2019-10-01,51123.22,82182.73215613051,215220.81,45187.78089047599,-91406665.8400602,5
IN_A05,2021-04-01,2019-10-01,52933.844,82182.73215613051,211517.06,45187.78089047599,-128406837.2680535,6
IN_A05,2021-07-01,2019-10-01,52748.566,82182.73215613051,226375.67,45187.780890476,-179053224.02300385,7
IN_A05,2021-10-01,2019-10-01,51450.8,82182.73215613051,277335.25,45187.780890475995,-245462691.15118757,8
IN_A06,2020-01-01,2019-10-01,22327783.56,16275800.293779917,1.5627646e+07,16293151.38736796,17627296.32882102,1
IN_A06,2020-04-01,2019-10-01,22553298.8,16275800.293779917,1.5627646e+07,16483047.707955405,6210306.698880553,2
IN_A06,2020-07-01,2019-10-01,24312975.27,16275800.293779917,1.5558554e+07,16501137.763534335,-12486318.500300169,3
IN_A06,2020-10-01,2019-10-01,21327766.68,16275800.293779917,1.5558554e+07,16501137.763534335,-32935264.35322562,4
IN_A06,2021-01-01,2019-10-01,21186298.17,16275800.293779917,1.5760937e+07,16500555.578250548,-56690012.286047995,5
IN_A06,2021-04-01,2019-10-01,21162157.24,16275800.293779917,1.5760937e+07,16500555.578250552,-88773150.63120931,6
IN_A06,2021-07-01,2019-10-01,22171490.92,16275800.293779917,1.5760937e+07,16518645.633829473,-133049615.55587408,7
IN_A06,2021-10-01,2019-10-01,25268774.81,16275800.293779917,1.5760937e+07,16518645.633829476,-192081694.4404405,8
IN_A07,2020-01-01,2019-10-01,1889761.933,1166308.9359522911,1.4224951e+06,1315361.5389916974,-3182596.7765396833,1
IN_A07,2020-04-01,2019-10-01,1254643.165,1084828.0600601172,1.3776249e+06,1317057.831902009,-17314973.604724646,2
IN_A07,2020-07-01,2019-10-01,2118770.377,1128875.7626886233,1.3072425e+06,1280900.665940971,-37971611.08877921,3
