cl1,cl2,unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble,,model
,,IN_A10,4/1/2026,8472421.693440663,1.125815e+07,10697166.426105382,8651684.255407205,9855390.125708584,,#N/A
,,IN_A10,7/1/2026,8746022.805,1.1446715e+07,10775881.026489912,8608976.734781312,9984048.323982788,,#N/A
,,IN_A10,10/1/2026,8252461.286361292,1.0786809e+07,10770002.334335826,8556243.714544566,9682458.972900253,,#N/A
,,IN_A11,1/1/2025,493409.8800720371,511137.94,623564.1513246499,721536.1074963638,583915.2388914293,,#N/A
,,IN_A11,4/1/2025,464121.2210735056,506801.56,647532.0404403801,763845.0133263823,591507.0285007281,,#N/A
,,IN_A11,7/1/2025,412017.32046197506,491742.66,652869.8859,761432.2138095347,575880.4877859855,,#N/A
,,IN_A11,10/1/2025,396028.24216076086,491448.75,683307.6107120768,759845.9926877598,580277.6244902493,,#N/A
,,IN_A11,1/1/2026,414619.4575201893,454355.38,686474.6738922489,869327.9944446711,599703.3810327597,,#N/A
,,IN_A11,4/1/2026,404099.94245842303,415864.94,707021.9648549688,908434.5271869518,601604.3533432755,,#N/A
,,IN_A11,7/1/2026,388470.9679121918,449320.62,707867.4333020083,910683.9808226267,606948.6304884645,,#N/A
,,IN_A11,10/1/2026,383104.32045243855,434561.44,744775.5615054624,906074.0402843455,611514.5719233262,,#N/A
,,IN_A12,1/1/2025,8358207.15,1.1407952e+07,10705528.401498362,6910483.064958772,9496569.349467186,,10705528.401498362
,,IN_A12,4/1/2025,7674761.318516182,1.1529608e+07,9472779.744252618,9707435.904166836,9600739.915,,9472779.744252618
,,IN_A12,7/1/2025,6958792.933945573,1.0547418e+07,11125932.058245549,7767030.910898592,9237330.479,,11125932.058245549
,,IN_A12,10/1/2025,6458567.718658873,1.3210132e+07,10623350.87567725,7830739.999752305,9657493.402563259,,10623350.87567725
,,IN_A12,1/1/2026,5970115.513715391,1.207152e+07,10814221.056021906,8379048.502,9420566.044,,10814221.056021906
,,IN_A12,4/1/2026,5514182.340701253,1.1025448e+07,10968039.398572024,8086822.704951808,9025326.550444195,,10968039.398572024
,,IN_A12,7/1/2026,5561030.194854972,1.165583e+07,10896786.90739609,8040843.227,9166211.250226988,,10896786.90739609
,,IN_A12,10/1/2026,5423190.894151863,1.0224494e+07,11230803.406377425,8070132.866,8872063.89,,11230803.406377425
,,IN_A16,1/1/2025,401695.5358,402662.2,371169.78378091427,391310.4927795462,390954.37951261335,,#N/A
,,IN_A16,4/1/2025,404099.94245842303,445532.2,336673.33582828427,434930.3893162908,401782.42946043285,,#N/A
,,IN_A16,7/1/2025,401394.8896205141,445532.2,401634.5401501204,441213.89960441453,421124.77637107566,,#N/A
,,IN_A16,10/1/2025,396028.24216076086,430773,375468.4367704725,438872.0308522353,408046.6352915943,,#N/A
,,IN_A16,1/1/2026,397300.77850978397,444401.75,408961.6042904782,550130.4428692879,445144.4445167482,,#N/A
,,IN_A16,4/1/2026,386781.2634480177,415864.94,396207.0617459782,592444.3791137575,440678.3951170726,,#N/A
,,IN_A16,7/1/2026,388470.9679121918,415864.94,415226.1035544795,596404.1183453687,447404.3626535785,,#N/A
,,IN_A16,10/1/2026,378709.56315035553,401105.75,411126.14883622836,593819.3068585544,439533.7654110613,,#N/A
,,IN_B01,1/1/2025,3038586.5639237184,3.158502e+06,2903199.846942489,3101427.905013088,3043431.5365937552,,#N/A
,,IN_B01,4/1/2025,2823482.5866848733,3.092188e+06,2907820.048,3057244.405394976,2965572.018822844,,#N/A
,,IN_B01,7/1/2025,2960230.51,3.1483432e+06,2759401.3918344094,3097594.191576868,2979415.5664038863,,#N/A
,,IN_B01,10/1/2025,3011770.807547266,3.19265e+06,2742701.1404411765,3072079.9839304294,2993092.9333647806,,#N/A
,,IN_B01,1/1/2026,2776572.7808219595,3.1605628e+06,2775659.178457449,3153296.5653742426,2953816.0165175395,,#N/A
,,IN_B01,4/1/2026,2953583.912635952,3.2293732e+06,2774165.4223151286,3185869.2443973366,3021349.6932150302,,#N/A
,,IN_B01,7/1/2026,3053179.4243695703,3.203584e+06,2728862.067,3171970.957211398,3023368.6392574715,,#N/A
,,IN_B01,10/1/2026,2794969.4706067857,3.0750802e+06,2730834.7052557636,3149921.3702786937,2923100.1655072877,,#N/A
,,IN_B02,1/1/2025,2294170.9514813516,2.382202e+06,2313236.820920218,2080598.0444435594,2276431.8345802096,,#N/A
,,IN_B02,4/1/2025,2397351.331958396,2.480208e+06,2392412.344465032,2128775.600236389,2359682.7435913603,,#N/A
,,IN_B02,7/1/2025,2615869.4521067543,2.5177792e+06,2535595.6363779777,2104726.516574248,2459044.0995035293,,#N/A
,,IN_B02,10/1/2025,2606310.1357347593,2.5348038e+06,2687783.4728450594,2096232.7564783145,2502928.9237862383,,#N/A
,,IN_B02,1/1/2026,2700671.729,2.575997e+06,2747215.3514139336,2199302.7955771317,2575644.4968147175,,#N/A
,,IN_B02,4/1/2026,2795560.360093539,2.8752978e+06,2736833.542437491,2227506.962176209,2677829.091733881,,#N/A
,,IN_B02,7/1/2026,2958856.9870133717,2.8282222e+06,2717152.7025277014,2221086.025190481,2699105.070331117,,#N/A
,,IN_B02,10/1/2026,2985378.656,2.7420458e+06,2717522.6970080445,2208090.679657168,2681153.6055865763,,#N/A
,,IN_B03,1/1/2025,747021.6855,843389,869476.5531841022,828486.7366,823975.4205746072,,#N/A
,,IN_B03,4/1/2025,734993.5398,833666.56,816728.9074,921294.6184419587,823167.4654384741,,#N/A
,,IN_B03,7/1/2025,732288.4869254282,836804.44,855383.3454082538,886960.6371,827088.8665715093,,#N/A
,,IN_B03,10/1/2025,690450.9776336369,784910.3,802572.5146987757,884620.2559997193,787967.4426121316,,#N/A
,,IN_B03,1/1/2026,705716.3434063774,855029.1,829145.5400589883,1002096.1047437927,842151.7955,,#N/A
,,IN_B03,4/1/2026,699884.4123041037,846213.5,802122.4982536514,1035764.4496506375,837891.0142026779,,#N/A
,,IN_B03,7/1/2026,697179.3594661949,846213.5,813556.6393969835,1036872.7880026677,840747.0642594199,,#N/A
,,IN_B03,10/1/2026,690450.9776336369,804014.2,792784.8764403218,1032882.0712622408,821584.2867058236,,#N/A
,,IN_B05,1/1/2025,15973198.353828732,1.3738887e+07,14998452.791526912,16257641.767571501,15187911.466681942,,#N/A
,,IN_B05,4/1/2025,15420679.508103857,1.4678768e+07,15683106.528249852,14539224.708647415,15120413.060940828,,#N/A
,,IN_B05,7/1/2025,14198162.701367468,1.5975394e+07,14343818.013190782,15298483.998726614,14924505.02304871,,#N/A
,,IN_B05,10/1/2025,15284685.15,1.4858787e+07,15498135.06375533,15252679.719009805,15231366.929766022,,#N/A
,,IN_B05,1/1/2026,15573265.044370782,1.3318581e+07,15193893.120219057,14988537.941041166,14768721.051294455,,#N/A
,,IN_B05,4/1/2026,14730884.483460028,1.5293793e+07,15063918.798442515,15057150.431994652,15038656.27355837,,#N/A
,,IN_B05,7/1/2026,14498262.999263847,1.4968503e+07,14983769.997121997,14981469.202563707,14859831.652777674,,#N/A
,,IN_B05,10/1/2026,15349773.303381301,1.4259663e+07,15047747.70027491,14836746.076586312,14877622.541651733,,#N/A
,,IN_B06,1/1/2025,67971.75770908376,99042.875,65784.26031946283,153779.49032716735,93495.07992327666,,#N/A
,,IN_B06,4/1/2025,57452.24264731745,117976.54,59985.80772515241,201755.04309720275,104254.77489283544,,#N/A
,,IN_B06,7/1/2025,54747.189809408585,117976.54,57299.62290026206,204060.15473532863,103307.69369531114,,#N/A
,,IN_B06,10/1/2025,49380.54235,103217.32,56144.30216458975,205274.33095782966,98175.32206177687,,#N/A
,,IN_B06,1/1/2026,67971.75770908376,153679.72,56561.16832263962,318723.64135066944,139826.36692276204,,#N/A
,,IN_B06,4/1/2026,57452.24264731745,143783.83,56974.360514006476,361710.6493348031,144008.2537427331,,#N/A
,,IN_B06,7/1/2026,54747.189809408585,143783.83,57653.123080622914,367496.47206159896,144769.93865452026,,#N/A
,,IN_B06,10/1/2026,49380.54235,129024.65,57595.45038028632,366577.5456158577,139498.50309487834,,#N/A
,,IN_C01,1/1/2025,2548947.862925296,2.516497e+06,2762232.1899363487,3060272.4794620457,2710984.0518881464,,#N/A
,,IN_C01,4/1/2025,2603193.930568742,2.5928665e+06,2550690.0275377873,3067433.675461349,2684412.0607065833,,#N/A
,,IN_C01,7/1/2025,2698589.6657116464,2.5853878e+06,2637149.3225332834,3157930.253147819,2750146.3621543497,,#N/A
,,IN_C01,10/1/2025,2431081.56,2.483566e+06,2757068.3038145415,3092823.7579821013,2679066.654832286,,#N/A
,,IN_C01,1/1/2026,2538725.9296684037,2.667363e+06,2665691.275667049,3179413.916,2744309.3503212184,,#N/A
,,IN_C01,4/1/2026,2540191.077119916,2.632512e+06,2735586.1282975497,3220538.085608131,2764696.0359077845,,#N/A
,,IN_C01,7/1/2026,2513197.2282758825,2.6328342e+06,2737969.9095057445,3200383.527583366,2754519.3689791686,,#N/A
,,IN_C01,10/1/2026,2469168.6595733934,2.6606862e+06,2751969.3025035164,3178655.0062870635,2750120.836969891,,#N/A
,,IN_C02,1/1/2025,2759007.4651458454,3.0211272e+06,2731684.8867927464,2819844.8838559175,2830490.8335281573,,#N/A
,,IN_C02,4/1/2025,2774936.256782808,3.0534232e+06,2824800.379685737,2826769.071942929,2870828.5653686747,,#N/A
,,IN_C02,7/1/2025,2801805.35,2.9771068e+06,2747209.4976062183,2761383.315640188,2821889.968921011,,#N/A
,,IN_C02,10/1/2025,2976710.9158476554,3.0819272e+06,2760733.9003459825,2776099.0622195834,2898534.4168285932,,#N/A
,,IN_C02,1/1/2026,2980885.296,3.023963e+06,2751429.776074734,2870898.9891468897,2902411.7042195746,,#N/A
,,IN_C02,4/1/2026,2959829.8188686282,3.0625155e+06,2775788.9706864804,2888285.238300436,2917693.192964532,,#N/A
,,IN_C02,7/1/2026,2935517.792990589,3.0950078e+06,2727238.032562471,2881658.612543506,2904567.100570533,,#N/A
,,IN_C02,10/1/2026,2729174.1135622333,3.0387975e+06,2729931.2395849847,2863883.2889022743,2836497.095870851,,#N/A
,,IN_C03,1/1/2025,4200301.265884956,4.469466e+06,4198563.855,4154841.520873292,4258271.254266599,,#N/A
,,IN_C03,4/1/2025,4230784.915247496,4.533965e+06,4358173.022486414,4229269.061743589,4343842.179721477,,#N/A
,,IN_C03,7/1/2025,4311594.394008097,4.5939975e+06,4426911.093596507,4112907.119283288,4373907.083,,#N/A
,,IN_C03,10/1/2025,4181987.72,4.5537245e+06,4439350.505029006,4116425.1910658735,4336111.457065836,,#N/A
,,IN_C03,1/1/2026,4299504.053372141,4.640534e+06,4407540.445983986,4215198.739185868,4398942.588996721,,#N/A
,,IN_C03,4/1/2026,4293145.579784237,4.7610485e+06,4315186.318343212,4217489.783697975,4401838.1936864415,,#N/A
,,IN_C03,7/1/2026,4275855.504494588,4.7370375e+06,4332236.171368305,4201150.479295382,4392918.129888976,,#N/A
,,IN_C03,10/1/2026,4232417.487236427,4.721139e+06,4377091.0162596535,4176619.272893701,4385857.370776793,,#N/A
,,IN_C04,1/1/2025,49579.88688406528,88144.125,21581.62820938074,130631.65561183647,68569.19360419389,,#N/A
,,IN_C04,4/1/2025,43455.12912438203,102731.29,21813.792472928424,175247.6128028205,80328.04437243902,,#N/A
,,IN_C04,7/1/2025,40750.076286473166,96532.84,22122.12948027608,182148.4159310721,79651.32665170974,,#N/A
,,IN_C04,10/1/2025,35383.42882671996,81773.625,22238.601518951527,182366.12827601813,74672.13316411187,,#N/A
,,IN_C04,1/1/2026,67971.75770908376,120565.21,21134.94364866628,295276.47208539234,116263.6667995663,,#N/A
,,IN_C04,4/1/2026,57452.24264731745,92028.37,21042.005397509383,339111.88877629547,115760.7319759713,,#N/A
,,IN_C04,7/1/2026,54747.189809408585,92028.37,22538.541221288917,344903.1755527516,116758.60717381598,,#N/A
,,IN_C04,10/1/2026,49380.54235,77269.164,22775.047913173385,344009.6395871595,111577.12446566625,,#N/A
,,IN_C05,1/1/2025,504281.4007440373,534995.4,476837.5207439008,549832.9649457838,513877.6599163095,,#N/A
,,IN_C05,4/1/2025,445283.17939866846,502076.88,478113.61768932414,614826.5264901035,505226.7093132938,,#N/A
,,IN_C05,7/1/2025,441657.98507074034,510247.38,489271.2236181866,607074.5230185325,507957.52313291066,,#N/A
,,IN_C05,10/1/2025,436291.33761098713,491106.2,480088.3295113727,603544.3751040114,498397.52280365373,,#N/A
,,IN_C05,1/1/2026,454882.5529704155,500946.56,475702.04255018546,717472.8049904074,528484.2000322876,,#N/A
,,IN_C05,4/1/2026,432359.25769034604,472409.8,490545.6862731462,756759.3321454632,528348.1454844492,,#N/A
,,IN_C05,7/1/2026,428734.0633624179,472409.8,473730.5283596176,759470.3495553157,523200.2914605399,,#N/A
