NDC,ATC5 Class
00536384401,No RxCUI Found
69543038625,No RxCUI Found
00904682960,No ATC Mapping Found
68001033861,No RxCUI Found
00093083301,No RxCUI Found
00093715806,No RxCUI Found
69784084001,No ATC Mapping Found
49502067230,No RxCUI Found
00409118701,No RxCUI Found
00904621740,No RxCUI Found
62011023301,No RxCUI Found
43547026650,No RxCUI Found
43199001615,No RxCUI Found
00591260905,No RxCUI Found
00115123313,No RxCUI Found
71104098101,No ATC Mapping Found
50419034421,No RxCUI Found
00065804812,No RxCUI Found
24208046530,No RxCUI Found
00407141485,No RxCUI Found
52544055228,No RxCUI Found
00407141235,No RxCUI Found
00071080340,No RxCUI Found
50111056302,No RxCUI Found
68645047354,No RxCUI Found
00603499228,No RxCUI Found
68382079601,No RxCUI Found
00172436560,No RxCUI Found
00074114401,No RxCUI Found
00228300350,No RxCUI Found
00378180301,No RxCUI Found
62037083001,No RxCUI Found
75854031230,No RxCUI Found
00555083402,No RxCUI Found
65628008005,No RxCUI Found
00603942445,No RxCUI Found
42192032330,No RxCUI Found
00703856023,No RxCUI Found
00409792209,No RxCUI Found
63323054505,No RxCUI Found
60258019701,No RxCUI Found
00904726006,No RxCUI Found
69543041010,No ATC Mapping Found
00093754356,No RxCUI Found
51645070801,No RxCUI Found
13668016930,No RxCUI Found
59651003210,No RxCUI Found
51991064501,No RxCUI Found
58657016390,No RxCUI Found
00407141495,No RxCUI Found
69367023430,No RxCUI Found
00178089630,No RxCUI Found
00065804083,No RxCUI Found
67457022005,No RxCUI Found
00409125601,No RxCUI Found
69387000101,No ATC Mapping Found
65757050003,No ATC Mapping Found
00054865724,No RxCUI Found
52544096728,No RxCUI Found
12496130602,No RxCUI Found
00093742598,No RxCUI Found
59528041605,No RxCUI Found
56151211101,No RxCUI Found
00904645204,No RxCUI Found
00603148158,No RxCUI Found
27437005601,No ATC Mapping Found
13668011930,No RxCUI Found
58468009001,No ATC Mapping Found
68094058859,No RxCUI Found
68382015406,No RxCUI Found
00004196302,No RxCUI Found
00264785020,No RxCUI Found
00591521505,No RxCUI Found
00407141365,No RxCUI Found
00023079815,No ATC Mapping Found
62175044215,No RxCUI Found
00904421713,No RxCUI Found
00641040025,No RxCUI Found
63739052301,No RxCUI Found
59088017554,No RxCUI Found
00378969252,No ATC Mapping Found
00536108494,No RxCUI Found
00074228505,No RxCUI Found
76204080025,No ATC Mapping Found
00904571130,No RxCUI Found
00074712613,No RxCUI Found
63323027025,No RxCUI Found
52544084728,No RxCUI Found
67253090050,No RxCUI Found
69367028030,No RxCUI Found
00409397701,No RxCUI Found
50383058405,No RxCUI Found
50268085715,No RxCUI Found
00904323352,No RxCUI Found
00173044202,No RxCUI Found
00406035805,No RxCUI Found
00641614701,No RxCUI Found
10019045002,No RxCUI Found
72912052530,No RxCUI Found
00406036501,No RxCUI Found
00904548652,No RxCUI Found
51759000204,No RxCUI Found
00904646961,No RxCUI Found
00009043601,No RxCUI Found
00093733606,No RxCUI Found
50419032015,No RxCUI Found
00603390121,No RxCUI Found
00904236460,No RxCUI Found
69543041710,No ATC Mapping Found
73063003503,No RxCUI Found
00069239201,No RxCUI Found
00407069015,No RxCUI Found
68382001601,No RxCUI Found
00407141220,No RxCUI Found
00591234101,No ATC Mapping Found
00121072716,No RxCUI Found
65219053325,No ATC Mapping Found
24208056162,No RxCUI Found
00603499121,No RxCUI Found
10542002509,No RxCUI Found
71104098201,No ATC Mapping Found
00904673971,No RxCUI Found
00409798413,No RxCUI Found
53746025301,No RxCUI Found
00002010102,No RxCUI Found
00378699393,No ATC Mapping Found
62011048301,No ATC Mapping Found
76204090011,No ATC Mapping Found
00185002501,No RxCUI Found
66993002127,No ATC Mapping Found
10019016312,No RxCUI Found
50419032001,No RxCUI Found
49348057041,No RxCUI Found
60432046415,No RxCUI Found
63323049202,No RxCUI Found
46122011978,No RxCUI Found
52544063128,No RxCUI Found
56151173301,No RxCUI Found
59762153002,No RxCUI Found
23155056905,No RxCUI Found
68025005930,No RxCUI Found
00641625301,No RxCUI Found
00093742556,No RxCUI Found
83035121509,No RxCUI Found
63323018507,No RxCUI Found
00074382613,No RxCUI Found
65628005004,No RxCUI Found
00409397703,No RxCUI Found
64679073602,No RxCUI Found
00409021811,No RxCUI Found
00074707426,No RxCUI Found
62175015437,No RxCUI Found
69097016864,No ATC Mapping Found
00517293025,No RxCUI Found
00517302025,No RxCUI Found
16729047731,No RxCUI Found
63739044310,No RxCUI Found
00407141310,No RxCUI Found
64980058851,No ATC Mapping Found
51645087513,No RxCUI Found
68382003010,No RxCUI Found
52796017390,No RxCUI Found
67457096701,No RxCUI Found
00574017810,No RxCUI Found
00409707426,No RxCUI Found
68001019703,No RxCUI Found
00093714656,No RxCUI Found
00378180901,No RxCUI Found
65219018710,No RxCUI Found
68001012900,No RxCUI Found
00904188352,No RxCUI Found
46122012078,No RxCUI Found
00093595506,No ATC Mapping Found
00904681552,No RxCUI Found
00409409309,No ATC Mapping Found
69543040930,No ATC Mapping Found
00904404360,No RxCUI Found
00407069042,No RxCUI Found
00023040350,No ATC Mapping Found
00536342608,No RxCUI Found
00074318201,No RxCUI Found
56151060150,No RxCUI Found
13668059607,No RxCUI Found
71288010518,No ATC Mapping Found
00603448521,No RxCUI Found
61269015101,No RxCUI Found
00409100811,No RxCUI Found
00002411533,No RxCUI Found
00004196501,No RxCUI Found
63739006010,No RxCUI Found
00115993278,No ATC Mapping Found
00603760748,No RxCUI Found
15370025030,No RxCUI Found
00407222217,No RxCUI Found
59651014601,No ATC Mapping Found
55566830200,No RxCUI Found
00486111101,No ATC Mapping Found
46122012085,No RxCUI Found
60505132901,No RxCUI Found
00069236201,No RxCUI Found
51079038619,No RxCUI Found
00065895001,No RxCUI Found
00185079930,No RxCUI Found
68462010340,No RxCUI Found
00591260501,No RxCUI Found
00264738550,No RxCUI Found
00407141460,No RxCUI Found
00409103850,No RxCUI Found
00093724806,No RxCUI Found
00603421132,No RxCUI Found
00093585201,No RxCUI Found
23594055050,No RxCUI Found
69543026790,No RxCUI Found
00407069017,No RxCUI Found
49348087410,No RxCUI Found
00264738560,No RxCUI Found
00087123901,No RxCUI Found
00781285560,No RxCUI Found
59676058015,No RxCUI Found
65219028110,No RxCUI Found
46122008787,No RxCUI Found
24208063010,No ATC Mapping Found
58468012601,No RxCUI Found
00574007116,No RxCUI Found
00093084015,No RxCUI Found
71104098401,No ATC Mapping Found
47335058081,No RxCUI Found
00781540805,No RxCUI Found
51645092010,No RxCUI Found
00904610561,No RxCUI Found
23594050050,No RxCUI Found
00186103301,No RxCUI Found
71104080401,No ATC Mapping Found
00904573451,No RxCUI Found
00245005801,No RxCUI Found
68308040547,No RxCUI Found
00093742456,No RxCUI Found
70000008801,No ATC Mapping Found
45802039504,No RxCUI Found
76439030910,No RxCUI Found
00904053961,No RxCUI Found
56151014701,No RxCUI Found
62037052401,No RxCUI Found
50383072016,No RxCUI Found
00603396821,No RxCUI Found
00052433001,No RxCUI Found
00407270703,No RxCUI Found
71104080801,No ATC Mapping Found
00904671950,No RxCUI Found
70000008901,No ATC Mapping Found
00093585001,No RxCUI Found
00536106210,No RxCUI Found
00904131546,No RxCUI Found
00904585652,No RxCUI Found
